,Lineup,MP,OPP POSS,PPP,OPP PPP,PTS DIFF PER80,REB,OPP REB,ORB%,DRB%,RB%,TO%
0,"Elliot Paschal, Alec Bryan, Thomas Kurowski, Ezra Moos, Arrish Bhandal",7.72,13.86,0.6,0.94,-26.99,9,6,0.29,0.88,0.6,0.19
1,"Josh Preston, Skyler Twyman, Leonardo Edo, Eamonn Kenah, Joe Berry",3.75,6.72,2.26,0.3,156.75,3,1,,0.75,0.75,0.0
2,"Josh Preston, Leonardo Edo, Thomas Kurowski, Ezra Moos, Joe Berry",2.6,4.8,1.46,1.04,33.33,2,1,0.5,1.0,0.67,0.17
3,"Leonardo Edo, Joe Berry, Thomas Kurowski, Ezra Moos, Arrish Bhandal",2.42,2.88,0.96,0.69,21.04,2,1,,0.67,0.67,0.37
4,"Josh Preston, Skyler Twyman, Leonardo Edo, Thomas Kurowski, Joe Berry",2.27,4.8,0.42,1.04,-50.0,4,1,0.5,1.0,0.8,0.5
5,"Alec Bryan, Skyler Twyman, Thomas Kurowski, Ezra Moos, Arrish Bhandal",2.23,3.84,2.43,2.08,27.78,2,1,1.0,0.5,0.67,0.0
6,"Elliot Paschal, Leonardo Edo, Joe Berry, Thomas Kurowski, Arrish Bhandal",2.03,7.45,0.42,0.94,-41.89,0,3,0.0,0.0,0.0,0.08
7,"Josh Preston, Elliot Paschal, Alec Bryan, Ezra Moos, Joe Berry",1.87,2.88,1.04,0.69,27.78,2,2,0.0,1.0,0.5,0.0
8,"Elliot Paschal, Leonardo Edo, Arrish Bhandal, Thomas Kurowski, Joe Berry",1.78,1.92,1.39,3.12,-138.89,0,1,,0.0,0.0,0.33
9,"Elliot Paschal, Leonardo Edo, Thomas Kurowski, Ezra Moos, Arrish Bhandal",1.58,2.88,0.69,0.0,55.56,3,2,0.0,1.0,0.6,0.0
10,"Elliot Paschal, Alec Bryan, Thomas Kurowski, Eamonn Kenah, Arrish Bhandal",1.55,3.3,0.0,0.61,-48.45,3,2,0.33,1.0,0.6,0.0
11,"Alec Bryan, Skyler Twyman, Joe Berry, Thomas Kurowski, Arrish Bhandal",1.5,3.72,2.08,0.27,145.19,1,1,,0.5,0.5,0.0
12,"Leonardo Edo, Arrish Bhandal, Thomas Kurowski, Ezra Moos, Joe Berry",1.45,3.3,0.43,1.21,-62.75,2,1,0.5,1.0,0.67,0.17
13,"Josh Preston, Elliot Paschal, Leonardo Edo, Ezra Moos, Joe Berry",1.4,1.92,2.08,0.0,166.67,3,0,1.0,1.0,1.0,0.0
14,"Alec Bryan, Joe Berry, Thomas Kurowski, Ezra Moos, Arrish Bhandal",1.37,2.88,2.08,1.39,55.56,1,2,0.0,0.5,0.33,0.0
15,"Josh Preston, Skyler Twyman, Leonardo Edo, Thomas Kurowski, Ezra Moos",1.25,2.34,3.12,0.0,250.0,1,1,,0.5,0.5,0.0
16,"Elliot Paschal, Josh Preston, Leonardo Edo, Ezra Moos, Joe Berry",0.95,0.96,0.0,2.08,-166.67,0,2,0.0,,0.0,0.0
17,"Josh Preston, Skyler Twyman, Leonardo Edo, Ezra Moos, Joe Berry",0.85,2.76,2.08,0.72,108.8,0,0,,,,0.0
18,"Josh Preston, Skyler Twyman, Alec Bryan, Thomas Kurowski, Ezra Moos",0.58,1.38,3.12,0.0,250.0,1,1,,0.5,0.5,0.0
19,"Elliot Paschal, Josh Preston, Leonardo Edo, Thomas Kurowski, Joe Berry",0.22,2.76,,0.72,,0,0,,,,
20,"Elliot Paschal, Skyler Twyman, Leonardo Edo, Thomas Kurowski, Joe Berry",0.0,0.0,,,,0,0,,,,
