,Lineup,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,OPP DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,OPP FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
0,"Elliot Paschal, Alec Bryan, Thomas Kurowski, Ezra Moos, Arrish Bhandal",7.72,8,13,-5,3,2,1,7,5,0.36,12,0.38,14,0.33,3,0.43,7,2,1,0.5,3,1,0,0,2,4
1,"Josh Preston, Skyler Twyman, Leonardo Edo, Eamonn Kenah, Joe Berry",3.75,13,2,11,4,0,1,3,0,1.0,6,0.2,5,1.0,1,0.0,2,0,0,0.0,0,3,1,0,0,0
2,"Josh Preston, Leonardo Edo, Thomas Kurowski, Ezra Moos, Joe Berry",2.6,7,5,2,1,1,0,1,1,0.6,5,0.67,3,0.33,3,0.5,2,0,0,0.0,1,2,2,0,0,0
3,"Leonardo Edo, Joe Berry, Thomas Kurowski, Ezra Moos, Arrish Bhandal",2.42,5,2,3,1,0,1,2,0,0.67,3,0.25,4,1.0,1,0.0,2,1,0,0.0,2,0,0,0,1,2
4,"Josh Preston, Skyler Twyman, Leonardo Edo, Thomas Kurowski, Joe Berry",2.27,2,5,-3,0,1,0,3,1,0.33,3,0.4,5,0.0,0,0.5,2,0,0,0.0,3,0,0,1,0,0
5,"Alec Bryan, Skyler Twyman, Thomas Kurowski, Ezra Moos, Arrish Bhandal",2.23,7,8,-1,1,1,1,1,0,0.75,4,0.6,5,0.5,2,0.5,4,0,0,0.0,0,0,0,0,0,0
6,"Elliot Paschal, Leonardo Edo, Joe Berry, Thomas Kurowski, Arrish Bhandal",2.03,5,7,-2,0,0,1,0,2,0.62,8,0.71,7,0.0,0,0.0,0,8,4,0.62,1,0,0,0,2,4
7,"Josh Preston, Elliot Paschal, Alec Bryan, Ezra Moos, Joe Berry",1.87,3,2,1,1,0,0,2,2,0.33,3,0.33,3,0.33,3,0.0,2,0,0,0.0,0,0,0,0,0,0
8,"Elliot Paschal, Leonardo Edo, Arrish Bhandal, Thomas Kurowski, Joe Berry",1.78,4,6,-2,1,0,1,0,0,1.0,2,0.67,3,0.0,0,1.0,2,0,0,0.0,1,0,0,0,1,1
9,"Elliot Paschal, Leonardo Edo, Thomas Kurowski, Ezra Moos, Arrish Bhandal",1.58,2,0,2,0,0,0,3,2,0.33,3,0.0,3,0.0,1,0.0,0,0,0,0.0,0,0,0,1,0,1
10,"Elliot Paschal, Alec Bryan, Thomas Kurowski, Eamonn Kenah, Arrish Bhandal",1.55,0,2,-2,0,1,0,2,2,0.0,3,0.33,3,0.0,0,0.0,0,1,1,0.0,0,0,0,1,2,1
11,"Alec Bryan, Skyler Twyman, Joe Berry, Thomas Kurowski, Arrish Bhandal",1.5,4,1,3,1,0,1,1,0,1.0,2,0.25,4,0.0,0,0.0,1,0,2,0.0,0,0,0,0,1,1
12,"Leonardo Edo, Arrish Bhandal, Thomas Kurowski, Ezra Moos, Joe Berry",1.45,2,4,-2,0,1,0,1,1,0.5,4,0.67,3,0.0,1,0.0,0,2,1,1.0,1,0,0,0,1,1
13,"Josh Preston, Elliot Paschal, Leonardo Edo, Ezra Moos, Joe Berry",1.4,4,0,4,2,1,0,2,0,0.67,3,0.0,2,0.0,0,0.0,1,0,0,0.0,0,0,0,0,0,3
14,"Alec Bryan, Joe Berry, Thomas Kurowski, Ezra Moos, Arrish Bhandal",1.37,4,4,0,1,0,1,1,1,1.0,2,0.5,4,0.0,0,0.0,0,0,0,0.0,0,0,0,1,0,0
15,"Josh Preston, Skyler Twyman, Leonardo Edo, Thomas Kurowski, Ezra Moos",1.25,3,0,3,1,0,1,1,0,1.0,1,0.0,3,1.0,1,0.0,0,0,1,0.0,0,0,0,0,2,0
16,"Elliot Paschal, Josh Preston, Leonardo Edo, Ezra Moos, Joe Berry",0.95,0,2,-2,0,0,0,0,2,0.0,2,1.0,1,0.0,1,0.0,0,0,0,0.0,0,0,0,0,1,0
17,"Josh Preston, Skyler Twyman, Leonardo Edo, Ezra Moos, Joe Berry",0.85,2,2,0,1,0,0,0,0,1.0,1,1.0,2,0.0,0,0.0,0,0,2,0.0,0,0,0,0,2,0
18,"Josh Preston, Skyler Twyman, Alec Bryan, Thomas Kurowski, Ezra Moos",0.58,3,0,3,1,0,1,1,0,1.0,1,0.0,2,1.0,1,0.0,0,0,1,0.0,0,0,0,0,0,0
19,"Elliot Paschal, Josh Preston, Leonardo Edo, Thomas Kurowski, Joe Berry",0.22,0,2,-2,0,0,0,0,0,0.0,0,1.0,2,0.0,0,0.0,0,0,2,0.0,0,0,0,0,1,0
20,"Elliot Paschal, Skyler Twyman, Leonardo Edo, Thomas Kurowski, Joe Berry",0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0
