Date,Player,Region,Shot Type,Outcome
9/5/22,Thomas Kurowski,LC,,0
9/5/22,Alec Bryan,LW,,0
9/5/22,Dashiel Walker,RW,,0
9/5/22,Elliot Paschal,RW,,0
9/5/22,Alec Bryan,P,,0
9/5/22,Leonardo Edo,P,,0
9/5/22,Skyler Twyman,P,,0
9/5/22,Ezra Moos,P,,0
9/5/22,Arrish Bhandal,P,,0
9/5/22,Arrish Bhandal,P,,1
9/5/22,Arrish Bhandal,P,,0
9/5/22,Josh Preston,P,,0
9/5/22,Skyler Twyman,LB,,1
9/5/22,Dashiel Walker,TK,,0
9/5/22,Elliot Paschal,TK,,0
9/5/22,Josh Preston,RE,,0
9/6/22,Alec Bryan,LW,,1
9/6/22,Kerem Ozturk,LW,,0
9/6/22,Ezra Moos,LW,,0
9/6/22,Josh Preston,LW,,0
9/6/22,Kerem Ozturk,T,,0
9/6/22,Arrish Bhandal,T,,0
9/6/22,Josh Preston,T,,0
9/6/22,Josh Preston,T,,0
9/6/22,Josh Preston,T,,0
9/6/22,Alec Bryan,RW,,0
9/6/22,Skyler Twyman,RW,,1
9/6/22,Skyler Twyman,RW,,0
9/6/22,Ezra Moos,RW,,0
9/6/22,Dashiel Walker,RW,,0
9/6/22,Elliot Paschal,RW,,0
9/6/22,Elliot Paschal,RW,,0
9/6/22,Arrish Bhandal,RW,,1
9/6/22,Alec Bryan,RC,,1
9/6/22,Elliot Paschal,RC,,1
9/6/22,Kerem Ozturk,P,,1
9/6/22,Kerem Ozturk,P,,0
9/6/22,Leonardo Edo,P,,1
9/6/22,Leonardo Edo,P,,1
9/6/22,Leonardo Edo,P,,1
9/6/22,Leonardo Edo,P,,1
9/6/22,Leonardo Edo,P,,1
9/6/22,Leonardo Edo,P,,1
9/6/22,Leonardo Edo,P,,1
9/6/22,Skyler Twyman,P,,0
9/6/22,Thomas Kurowski,P,,1
9/6/22,Thomas Kurowski,P,,1
9/6/22,Elliot Paschal,P,,0
9/6/22,Elliot Paschal,P,,0
9/6/22,Arrish Bhandal,P,,1
9/6/22,Arrish Bhandal,P,,1
9/6/22,Arrish Bhandal,P,,1
9/6/22,Arrish Bhandal,P,,1
9/6/22,Arrish Bhandal,P,,0
9/6/22,Arrish Bhandal,P,,0
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,1
9/6/22,Josh Preston,P,,0
9/6/22,Josh Preston,P,,0
9/6/22,Thomas Kurowski,LE,,0
9/6/22,Alec Bryan,TK,,0
9/6/22,Skyler Twyman,TK,,0
9/6/22,Elliot Paschal,TK,,0
9/6/22,Josh Preston,TK,,1
9/6/22,Josh Preston,RE,,0
9/6/22,Alec Bryan,RB,,0
9/8/22,Skyler Twyman,LC,S,1
9/8/22,Josh Preston,LW,S,1
9/8/22,Dashiel Walker,LW,S,1
9/8/22,Elliot Paschal,T,B,1
9/8/22,Kerem Ozturk,T,P,1
9/8/22,Thomas Kurowski,T,B,1
9/8/22,Alec Bryan,T,S,1
9/8/22,Skyler Twyman,T,P,1
9/8/22,Ezra Moos,RW,S,1
9/8/22,Alec Bryan,RW,S,1
9/8/22,Ezra Moos,RC,S,1
