,Play Type,Outcome
0,Post-Up (Right),0
1,Post-Up (Right),0
2,Post-Up (Right),0
3,Post-Up (Right),1
4,Post-Up (Right),1
5,Post-Up (Right),0
6,Post-Up (Right),0
7,Post-Up (Right),1
8,Post-Up (Right),1
9,Pull-Up (2PT),0
10,Pull-Up (2PT),1
11,Pull-Up (2PT),1
12,Post-Up (Left),1
13,Post-Up (Left),1
14,Post-Up (Left),0
15,Post-Up (Left),0
16,Catch + Shoot (2PT),0
17,Catch + Shoot (2PT),1
18,Catch + Shoot (2PT),0
19,Drive + Dump,0
20,Drive + Dump,1
21,Offensive Rebound,1
22,PnR Roll Man,0
23,Off-Ball Cut,0
24,Drive Right,1
25,Transition,1
26,Drive Left,0
