,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team,FGA,FTA,FTA%,OPP FGA,OPP FTA,OPP FTA%
0,at Eastern Connnecticut State,W,8,60.1,1.28,1.11,32-56,4-5,9-15,25-59,6-14,13-16,32,32,34.5,62.9,50.0,16.6,19.2,Babson,56,15,26.8,59,16,27.1
1,at Rhode Island College,W,28,65.4,0.95,0.53,24-66,3-15,11-14,11-66,2-25,10-18,49,53,27.900000000000002,62.7,48.0,12.2,23.3,Babson,66,14,21.2,66,18,27.3
2,vs. Roger Williams,W,8,65.4,0.93,0.83,21-58,2-12,17-23,16-58,4-15,17-23,45,38,31.6,73.3,54.2,18.3,15.8,Babson,58,23,39.7,58,23,39.7
3,at Brandeis,W,29,75.3,1.13,0.72,29-72,10-24,17-17,15-55,5-25,21-31,49,38,30.2,81.8,56.3,15.9,25.8,Babson,72,17,23.599999999999998,55,31,56.39999999999999
4,"vs. Bridgewater State@ Williamstown, Mass.",W,22,64.4,1.21,0.85,32-66,8-18,6-16,22-62,5-15,7-11,45,36,52.6,58.099999999999994,55.60000000000001,21.8,30.3,Babson,66,16,24.2,62,11,17.7
5,at Williams,W,3,68.5,0.86,0.82,20-54,3-16,16-19,22-62,2-14,10-11,43,33,36.1,75.0,56.599999999999994,32.1,20.599999999999998,Babson,54,19,35.199999999999996,62,11,17.7
6,vs. Framingham State,W,8,71.0,1.0,0.89,26-76,8-24,11-18,24-57,6-14,9-16,46,41,33.300000000000004,80.60000000000001,52.900000000000006,9.9,23.9,Babson,76,18,23.7,57,16,28.1
7,"vs. Loras@ Miami Gardens, Fla.",L,21,63.1,0.82,1.15,23-57,4-23,2-4,25-60,9-26,14-16,35,38,19.400000000000002,75.7,47.9,22.2,12.6,Babson,57,4,7.000000000000001,60,16,26.700000000000003
8,"vs. Hanover@ Miami Gardens, Fla.",W,1,73.1,0.9,0.89,25-56,6-16,10-14,25-67,5-16,10-17,40,36,28.1,70.5,52.6,31.5,20.4,Babson,56,14,25.0,67,17,25.4
9,vs. Middlebury,W,9,65.5,0.92,0.79,23-57,2-13,12-12,20-55,5-16,6-10,45,27,44.1,78.9,62.5,32.0,24.7,Babson,57,12,21.099999999999998,55,10,18.2
10,vs. Endicott,W,25,68.5,1.11,0.75,27-60,7-16,15-19,21-69,4-17,5-13,42,42,32.4,62.0,50.0,20.4,22.1,Babson,60,19,31.7,69,13,18.8
11,at Tufts,W,2,74.4,1.05,1.01,30-65,5-17,13-17,27-68,6-22,16-19,39,40,19.400000000000002,74.4,49.4,16.1,17.299999999999997,Babson,65,17,26.200000000000003,68,19,27.900000000000002
12,vs. Springfield,W,20,70.2,1.07,0.79,30-64,8-22,7-7,20-61,6-20,9-13,38,39,23.5,69.8,49.4,20.0,27.200000000000003,Babson,64,7,10.9,61,13,21.3
13,vs. Hamilton,W,7,68.9,1.03,0.88,25-63,4-12,17-20,23-62,7-22,11-15,36,42,23.1,69.19999999999999,46.2,13.100000000000001,26.200000000000003,Babson,63,20,31.7,62,15,24.2
14,vs. Clark*,W,28,67.1,1.04,0.63,26-66,9-23,9-18,16-55,2-12,8-14,49,34,44.2,75.0,59.0,22.3,27.1,Babson,66,18,27.3,55,14,25.5
15,vs. Coast Guard*,W,16,69.4,0.95,0.72,23-64,3-12,17-21,16-63,8-27,10-13,55,36,45.5,74.5,60.4,27.400000000000002,22.900000000000002,Babson,64,21,32.800000000000004,63,13,20.599999999999998
16,vs. Trinity,L,4,62.9,0.97,1.01,20-51,8-13,13-17,21-51,7-17,16-20,24,39,15.6,61.3,38.1,19.1,29.599999999999998,Babson,51,17,33.300000000000004,51,20,39.2
17,at Mount Holyoke*,W,78,71.7,1.44,0.35,42-89,5-19,14-22,10-59,5-32,0-0,65,35,61.1,69.6,65.0,12.6,41.699999999999996,Babson,89,22,24.7,59,0,0.0
18,at Springfield*,L,10,62.0,0.98,1.13,22-59,2-16,15-15,27-61,3-16,14-22,39,38,27.0,72.5,50.6,14.499999999999998,9.5,Babson,59,15,25.4,61,22,36.1
19,vs. Emerson*,W,44,72.0,1.26,0.66,37-73,4-12,13-16,19-58,3-15,6-6,58,17,55.60000000000001,97.39999999999999,77.3,20.8,20.9,Babson,73,16,21.9,58,6,10.299999999999999
20,vs. Wheaton*,W,43,69.9,1.23,0.63,36-67,6-11,8-11,14-54,5-21,10-15,48,28,34.4,84.1,63.2,17.2,25.1,Babson,67,11,16.400000000000002,54,15,27.800000000000004
21,at Wellesley*,W,28,68.9,1.12,0.75,30-65,7-18,10-13,15-48,5-14,14-19,48,24,51.4,82.89999999999999,66.7,28.999999999999996,27.400000000000002,Babson,65,13,20.0,48,19,39.6
22,at Smith*,L,13,66.2,1.01,1.21,26-55,5-13,10-18,24-55,6-17,26-36,28,37,21.4,59.5,43.1,18.099999999999998,19.7,Babson,55,18,32.7,55,36,65.5
23,vs. MIT*,W,24,76.0,1.1,0.82,37-72,5-15,5-5,21-70,3-11,15-20,44,40,23.5,72.0,52.400000000000006,17.1,15.1,Babson,72,5,6.9,70,20,28.599999999999998
24,at WPI*,W,26,60.7,1.42,1.0,33-55,10-17,10-12,26-51,5-14,3-4,29,21,41.699999999999996,73.1,57.99999999999999,21.4,28.199999999999996,Babson,55,12,21.8,51,4,7.8
25,vs. Wheaton%,W,38,69.6,1.13,0.56,33-60,7-11,6-8,14-51,4-18,9-15,43,26,28.599999999999998,85.39999999999999,62.3,24.4,33.1,Babson,60,8,13.3,51,15,29.4
26,vs. MIT%,W,11,70.2,1.1,0.97,31-69,3-15,12-14,21-62,6-14,18-22,39,40,35.9,62.5,49.4,17.1,20.599999999999998,Babson,69,14,20.3,62,22,35.5
27,at Smith%,L,15,63.3,0.82,1.06,21-52,3-10,7-9,25-52,4-11,13-18,21,36,12.9,65.4,36.8,22.1,23.7,Babson,52,9,17.299999999999997,52,18,34.599999999999994
28,vs. Maine Maritime%,W,25,65.8,1.05,0.7,30-66,5-17,4-8,13-52,3-14,15-18,42,37,31.6,73.2,53.2,16.7,26.900000000000002,Babson,66,8,12.1,52,18,34.599999999999994
29,vs. New Paltz%,W,10,68.8,1.11,0.98,24-56,4-10,24-31,23-72,7-19,13-19,49,40,37.8,67.30000000000001,55.1,23.3,10.4,Babson,56,31,55.400000000000006,72,19,26.400000000000002
30,Total,,604,67.4,1.08,0.84,838-1889,160-465,340-453,601-1775,148-533,348-490,1265,1063,34.3,72.2,54.3,20.3,23.3,Babson,1889,453,24.0,1775,490,27.6
