,Play Type,Outcome
0,Drive + Kick,0
1,Pull-Up,1
2,Isolation Drive,0
3,Skip Pass,1
4,Flare Screen,1
5,Post-Up,1
6,Transition,0
7,Offensive Rebound Kick,1
8,Isolation Drive,0
9,Perimeter/Pass,1
10,Drive + Kick,0
11,Drive + Kick,0
12,PnR Drive,1
13,Drive + Kick,0
14,Offensive Rebound,1
15,Post-Up,1
16,Flare Screen,0
17,Drive + Kick,1
18,Closeout Drive,0
19,Perimeter/Pass,1
20,Pull-Up,1
21,Down Screen,1
22,Drive + Kick,0
23,PnR Drive,0
24,Closeout Drive,1
25,Perimeter/Pass,0
26,Perimeter/Pass,0
27,Drive + Kick,1
28,Closeout Drive,F
29,Closeout Drive,F
30,Transition,1
31,Isolation Drive,F
32,Pull-Up,0
33,Drive + Kick,0
34,Offensive Rebound Kick,1
35,PnR Drive,1
36,Isolation Drive,F
37,Transition,1
38,Isolation Drive,0
39,Down Screen,0
40,Drive + Dump,0
41,Isolation Drive,1
42,Drive + Kick,0
43,Drive + Kick,0
44,Drive + Kick,1
45,Pull-Up,0
46,Post Kick,0
47,PnR Drive,0
48,Offensive Rebound,F
49,Drive + Kick,1
50,Post-Up,F
51,Post Kick,0
52,Isolation Drive,0
53,Pull-Up,0
54,Post-Up,1
55,Post-Up,F
56,Down Screen,0
57,Isolation Drive,F
58,Closeout Drive,1
59,Closeout Drive,F
60,Post-Up,0
61,Isolation Drive,0
62,Pull-Up,0
63,Perimeter/Pass,0
64,Post Kick,0
65,Drive + Kick,0
66,Offensive Rebound,0
67,Flare Screen,0
