,Play Type,Outcome
0,Isolation/Drive,0
1,Isolation/Drive,0
2,Isolation/Drive,0
3,Isolation/Drive,0
4,Isolation/Drive,0
5,Isolation/Drive,0
6,Isolation/Drive,0
7,Isolation/Drive,0
8,Isolation/Drive,1
9,Isolation/Drive,1
10,Isolation/Drive,1
11,Isolation/Drive,1
12,Isolation/Drive,1
13,Isolation/Drive,1
14,Isolation/Drive,F
15,Pull-Up,0
16,PnR Drive,1
17,PnR Drive,F
18,PnR Drive,F
19,PnR Drive,0
20,Off-Ball Cut,0
21,Off-Ball Cut,1
22,Off-Ball Cut,0
23,Off-Ball Cut,F
24,Perimeter/Pass,1
25,Perimeter/Pass,1
26,Perimeter/Pass,0
27,Perimeter/Pass,0
28,Perimeter/Pass,0
29,Perimeter/Pass,0
30,Perimeter/Pass,0
31,Perimeter/Pass,0
32,Post Kick,0
33,Post Kick,0
34,Post Kick,0
35,Post Kick,0
36,Drive + Kick,0
37,Drive + Kick,0
38,Drive + Kick,0
39,Drive + Kick,0
40,Drive + Kick,0
41,Drive + Kick,0
42,Drive + Kick,0
43,Drive + Kick,1
44,Drive + Kick,1
45,Drive + Kick,1
46,Drive + Kick,1
47,Drive + Kick,1
48,Drive + Kick,1
49,Off-Ball Screen,1
50,Off-Ball Screen,1
51,Off-Ball Screen,1
52,Off-Ball Screen,0
53,Off-Ball Screen,0
54,Off-Ball Screen,0
55,Post-Up,F
56,Post-Up,F
57,Post-Up,1
58,Post-Up,1
59,Post-Up,1
60,Post-Up,0
61,Post-Up,0
62,Offensive Rebound,0
63,Offensive Rebound,0
64,Transition,1
65,Transition,1
66,Transition,1
67,Transition,F
68,Transition,0
69,Transition,0
70,Transition,0
