,Play Type,Outcome
0,Perimeter/Pass,0
1,Perimeter/Pass,0
2,Perimeter/Pass,0
3,Perimeter/Pass,0
4,Perimeter/Pass,0
5,Perimeter/Pass,0
6,Perimeter/Pass,0
7,Perimeter/Pass,0
8,Perimeter/Pass,0
9,Perimeter/Pass,0
10,PnR Roll Man,0
11,Transition,1
12,Transition,1
13,Transition,1
14,Transition,1
15,Transition,0
16,Transition,F
17,Transition,F
18,Pick-and-Pop,0
19,Isolation/Drive,0
20,Isolation/Drive,0
21,Isolation/Drive,0
22,Isolation/Drive,0
23,Isolation/Drive,0
24,Isolation/Drive,1
25,Isolation/Drive,F
26,Isolation/Drive,F
27,Pull-Up,1
28,Pull-Up,1
29,Pull-Up,0
30,Pull-Up,0
31,Pull-Up,0
32,Pull-Up,0
33,Pull-Up,0
34,Drive + Kick,0
35,Drive + Kick,0
36,Drive + Kick,0
37,Drive + Kick,0
38,Drive + Kick,0
39,Drive + Kick,0
40,Drive + Kick,0
41,Drive + Kick,F
42,Drive + Kick,1
43,Drive + Kick,1
44,Drive + Kick,1
45,Post-Up,F
46,Post-Up,F
47,Post-Up,F
48,Post-Up,0
49,Post-Up,0
50,Post-Up,0
51,Post-Up,1
52,Post-Up,1
53,Post-Up,1
54,Post-Up,1
55,PnR Drive,1
56,PnR Drive,1
57,PnR Drive,F
58,PnR Drive,0
59,PnR Drive,0
60,Off-Ball Cut,0
61,Off-Ball Cut,1
62,Off-Ball Cut,F
63,Offensive Rebound,1
64,Offensive Rebound,F
