,Play Type,Outcome
0,Off-Ball Cut,0
1,Off-Ball Cut,1
2,Off-Ball Cut,1
3,Off-Ball Cut,1
4,Drive Left,0
5,Drive Left,0
6,Drive Left,1
7,Catch + Shoot 3,0
8,Catch + Shoot 3,0
9,Catch + Shoot 3,0
10,Catch + Shoot 3,0
11,Catch + Shoot 3,0
12,Catch + Shoot 3,0
13,Catch + Shoot 3,1
14,Catch + Shoot 3,1
15,Pull-Up 2,0
16,Pull-Up 2,0
17,Pull-Up 2,0
18,Pull-Up 2,0
19,Pull-Up 2,1
20,Pull-Up 2,1
21,Offensive Rebound,0
22,Offensive Rebound,1
23,Offensive Rebound,1
24,Catch + Shoot 2,1
25,Catch + Shoot 2,0
26,Catch + Shoot 2,0
27,Pull-Up 3,1
28,Transition,1
29,Transition,0
