,Play Type,Outcome
0,Pull-Up,0
1,Pull-Up,1
2,Offensive Rebound,0
3,Offensive Rebound,0
4,Offensive Rebound,0
5,Offensive Rebound,0
6,Offensive Rebound,1
7,Offensive Rebound,1
8,Drive Left,1
9,Drive Left,1
10,Drive Left,1
11,Drive Left,1
12,Drive Left,1
13,Drive Left,1
14,Drive Left,1
15,Drive Left,1
16,Drive Left,0
17,Drive Left,0
18,Drive Left,0
19,Drive Right,1
20,Drive Right,1
21,Drive Right,0
22,Drive Right,0
23,Drive Right,0
24,Post-Up (Right),1
25,Post-Up (Right),1
26,Post-Up (Right),1
27,Post-Up (Right),1
28,Post-Up (Right),1
29,Post-Up (Right),0
30,Post-Up (Right),0
31,Catch + Shoot,0
32,Catch + Shoot,0
33,Catch + Shoot,0
34,Catch + Shoot,0
35,Catch + Shoot,0
36,Catch + Shoot,0
37,Catch + Shoot,0
38,Catch + Shoot,1
39,Catch + Shoot,1
40,Catch + Shoot,1
41,Off-Ball Cut,1
42,Off-Ball Cut,1
43,Off-Ball Cut,1
44,Off-Ball Cut,1
45,Drive + Dump,1
46,Drive + Dump,1
47,Post-Up (Left),1
48,Post-Up (Left),1
49,Post-Up (Left),1
50,Post-Up (Left),1
51,Post-Up (Left),1
52,Post-Up (Left),0
