,Play Type,Outcome
0,Post Kick,1
1,Post Kick,1
2,Post Kick,1
3,Post Kick,0
4,Post Kick,0
5,Off-Ball Cut,1
6,Off-Ball Cut,1
7,Off-Ball Cut,1
8,Off-Ball Cut,1
9,Off-Ball Cut,1
10,Off-Ball Cut,0
11,Off-Ball Cut,F
12,Isolation Drive,1
13,Isolation Drive,0
14,Isolation Drive,0
15,Pick-and-Pop,0
16,Pick-and-Pop,0
17,Pick-and-Pop,0
18,Pick-and-Pop,0
19,Post-Up,0
20,Post-Up,0
21,Post-Up,0
22,Post-Up,0
23,Post-Up,0
24,Post-Up,1
25,Post-Up,1
26,Post-Up,1
27,Post-Up,F
28,Pull-Up,0
29,Pull-Up,0
30,Pull-Up,0
31,Pull-Up,0
32,Pull-Up,0
33,Pull-Up,0
34,Pull-Up,1
35,Pull-Up,1
36,Pull-Up,1
37,Offensive Rebound,0
38,Offensive Rebound,0
39,Offensive Rebound,0
40,Offensive Rebound,1
41,Offensive Rebound,1
42,Offensive Rebound,F
43,Transition,1
44,Transition,1
45,Transition,1
46,Transition,1
47,Transition,1
48,Transition,1
49,Transition,1
50,Transition,1
51,Transition,F
52,Transition,0
53,Transition,0
54,Transition,0
55,Transition,0
56,Transition,0
57,Transition,0
58,Transition,0
59,Perimeter/Pass,0
60,Closeout Drive,0
61,Closeout Drive,0
62,Closeout Drive,1
63,Drive + Kick,0
64,Drive + Kick,0
65,Drive + Kick,0
66,Drive + Kick,0
67,Drive + Kick,0
68,Drive + Kick,1
69,Drive + Kick,1
70,Drive + Kick,1
71,Drive + Kick,1
72,Drive + Kick,1
73,PnR Drive,1
74,PnR Drive,1
75,PnR Drive,1
76,PnR Drive,1
77,PnR Drive,F
78,PnR Drive,F
79,PnR Drive,0
80,Perimeter/Pass,0
81,Perimeter/Pass,0
82,Perimeter/Pass,1
83,Perimeter/Pass,1
