,Play Type,Outcome
0,Floater,0
1,Floater,1
2,Floater,0
3,Floater,1
4,Floater,1
5,Pull-Up,1
6,Pull-Up,1
7,Pull-Up,1
8,Pull-Up,1
9,Pull-Up,0
10,Pull-Up,0
11,Pull-Up,0
12,Pull-Up,0
13,Pull-Up,0
14,Pull-Up,0
15,Pull-Up,0
16,Pull-Up,0
17,Stepback,0
18,Stepback,0
19,Stepback,0
20,Stepback,0
21,Stepback,0
22,Stepback,1
23,Hook,0
24,Hook,0
25,Layup,1
26,Layup,0
27,Drive,1
28,Drive,1
29,Drive,1
30,Drive,0
31,Drive,0
32,Drive,0
33,Drive,0
34,Cut,0
35,Spot Up,1
36,Spot Up,1
37,Spot Up,1
38,Spot Up,1
39,Spot Up,0
40,Spot Up,0
