,Play Type,Outcome
0,Dribble Pull-Up,0
1,Catch-and-Shoot,0
2,Dribble Pull-Up,0
3,Dribble Pull-Up,1
4,Floater,0
5,Floater,0
6,Catch-and-Shoot,0
7,Floater,0
8,Drive,0
9,Catch-and-Shoot,0
10,Drive,1
11,Floater,0
12,Dribble Pull-Up,0
13,Floater,1
14,Drive,0
15,Floater,1
16,Drive,0
17,Dribble Pull-Up,0
18,Dribble Pull-Up,0
19,Catch-and-Shoot,1
20,Dribble Pull-Up,1
21,Drive,0
22,Dribble Pull-Up,0
23,Drive,0
24,Drive,1
25,Dribble Pull-Up,1
26,Drive,1
27,Catch-and-Shoot,0
28,Drive,0
29,Floater,1
30,Cut,1
31,Dribble Pull-Up,1
32,Catch-and-Shoot,0
33,Transition,1
34,Catch-and-Shoot,0
35,Floater,0
36,Dribble Pull-Up,0
37,Floater,0
38,Dribble Pull-Up,0
39,Catch-and-Shoot,1
40,Floater,0
41,Floater,0
42,Drive,1
43,Catch-and-Shoot,1
44,Catch-and-Shoot,0
45,Dribble Pull-Up,0
46,Drive,0
47,Catch-and-Shoot,1
48,Dribble Pull-Up,0
49,Dribble Pull-Up,0
50,Drive,1
51,Transition,0
52,Drive,1
53,Drive,0
