,Score,Lineup,TEAM,SCORE
0,0-2,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,2
0,0-2,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,2
1,0-3,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,3
1,0-3,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,3
2,0-5,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,5
2,0-5,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,5
3,2-5,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,5
3,2-5,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,5
4,2-7,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,7
4,2-7,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,7
5,5-7,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,7
5,5-7,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,7
6,5-8,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,8
6,5-8,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,8
7,5-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,9
7,5-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,9
8,8-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,9
8,8-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,9
9,10-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,9
9,10-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,9
10,12-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,9
10,12-9,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,9
11,15-9,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Home,9
11,15-9,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Away,9
12,17-9,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Away,9
12,17-9,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Home,9
13,17-11,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,11
13,17-11,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,11
14,20-11,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,11
14,20-11,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,11
15,22-11,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Thomas Kurowski",Home,11
15,22-11,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Thomas Kurowski",Away,11
16,23-11,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Thomas Kurowski",Home,11
16,23-11,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Thomas Kurowski",Away,11
17,25-11,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Home,11
17,25-11,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Away,11
18,27-11,"Arrish Bhandal, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",Away,11
18,27-11,"Arrish Bhandal, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",Home,11
19,27-12,"Arrish Bhandal, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",Away,12
19,27-12,"Arrish Bhandal, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",Home,12
20,29-12,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin",Home,12
20,29-12,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin",Away,12
21,29-14,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin",Away,14
21,29-14,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin",Home,14
22,30-14,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,14
22,30-14,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,14
23,31-14,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,14
23,31-14,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,14
24,34-14,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Thomas Kurowski",Home,14
24,34-14,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Thomas Kurowski",Away,14
25,37-14,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,14
25,37-14,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,14
26,38-14,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,14
26,38-14,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,14
27,39-14,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,14
27,39-14,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,14
28,39-15,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,15
28,39-15,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,15
29,40-15,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,15
29,40-15,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,15
30,40-16,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",Away,16
30,40-16,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",Home,16
31,40-17,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",Home,17
31,40-17,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",Away,17
32,40-18,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",Home,18
32,40-18,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",Away,18
33,40-21,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,21
33,40-21,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,21
34,41-21,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,21
34,41-21,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,21
35,42-21,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,21
35,42-21,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,21
36,42-22,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,22
36,42-22,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,22
37,42-23,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,23
37,42-23,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,23
38,42-24,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,24
38,42-24,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,24
39,43-24,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,24
39,43-24,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,24
40,44-24,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,24
40,44-24,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,24
41,44-27,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",Away,27
41,44-27,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",Home,27
42,47-27,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",Away,27
42,47-27,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",Home,27
43,47-30,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",Away,30
43,47-30,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",Home,30
44,47-31,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Away,31
44,47-31,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Home,31
45,47-32,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,32
45,47-32,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,32
46,50-32,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,32
46,50-32,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,32
47,50-34,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Home,34
47,50-34,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Away,34
48,53-34,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Away,34
48,53-34,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Home,34
49,53-36,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Away,36
49,53-36,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",Home,36
50,53-38,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Away,38
50,53-38,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Home,38
51,55-38,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Away,38
51,55-38,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Home,38
52,55-40,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Away,40
52,55-40,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Home,40
53,56-40,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Away,40
53,56-40,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Home,40
54,57-40,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Away,40
54,57-40,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Home,40
55,57-43,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",Away,43
55,57-43,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",Home,43
56,57-45,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Thomas Kurowski",Home,45
56,57-45,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Thomas Kurowski",Away,45
57,57-47,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,47
57,57-47,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,47
58,59-47,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Home,47
58,59-47,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Away,47
59,59-49,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Away,49
59,59-49,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Home,49
60,62-49,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Home,49
60,62-49,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Away,49
61,62-51,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Away,51
61,62-51,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",Home,51
62,62-52,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Home,52
62,62-52,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Away,52
63,62-53,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Away,53
63,62-53,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Home,53
64,64-53,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Home,53
64,64-53,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Away,53
65,64-55,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Away,55
65,64-55,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",Home,55
66,64-58,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Away,58
66,64-58,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",Home,58
67,64-60,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,60
67,64-60,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,60
68,66-60,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,60
68,66-60,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,60
69,68-60,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,60
69,68-60,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,60
70,68-62,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,62
70,68-62,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,62
71,68-64,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,64
71,68-64,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,64
72,69-64,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Home,64
72,69-64,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",Away,64
73,70-64,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Away,64
73,70-64,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman",Home,64
74,73-64,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,64
74,73-64,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,64
75,73-67,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,67
75,73-67,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,67
76,74-67,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,67
76,74-67,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,67
77,74-69,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,69
77,74-69,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,69
78,75-69,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,69
78,75-69,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,69
79,76-69,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,69
79,76-69,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,69
80,76-71,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,71
80,76-71,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,71
81,76-72,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,72
81,76-72,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,72
82,76-73,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Away,73
82,76-73,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",Home,73
