,Length,Outcome
0,9,Miss
1,8,Make
2,37,Miss
3,7,Turnover
4,7,Make
5,11,Turnover
6,8,Make
7,7,Turnover
8,26,Make
9,49,Miss
10,19,Turnover
11,12,Make
12,46,Turnover
13,8,Make
14,20,Make
15,11,Turnover
16,11,Miss
17,30,Miss
18,45,Miss
19,26,Miss
20,2,Turnover
21,13,Make
22,11,Miss
23,19,Make
24,17,Turnover
0,9,Miss
1,8,Make
2,37,Miss
3,7,Turnover
4,7,Make
5,11,Turnover
6,8,Make
7,7,Turnover
8,26,Make
9,49,Miss
10,19,Turnover
11,12,Make
12,11,Miss
13,35,Turnover
14,8,Make
15,20,Make
16,11,Turnover
17,11,Miss
18,30,Miss
19,45,Miss
20,26,Miss
21,2,Turnover
22,13,Make
23,11,Miss
24,19,Make
25,17,Turnover
26,21,Miss
27,10,Turnover
28,25,Miss
29,4,Turnover
30,27,Make
31,8,Miss
