,Length,Outcome
0,9,Miss
1,8,Make
2,37,Miss
3,7,Turnover
4,7,Make
5,11,Turnover
6,8,Make
7,7,Turnover
8,26,Make
9,49,Miss
10,19,Turnover
11,12,Make
12,46,Turnover
13,8,Make
14,20,Make
15,11,Turnover
16,11,Miss
17,30,Miss
18,45,Miss
19,26,Miss
20,2,Turnover
21,13,Make
22,11,Miss
23,19,Make
24,17,Turnover
25,9,Miss
26,8,Make
27,37,Miss
28,7,Turnover
29,7,Make
30,11,Turnover
31,8,Make
32,7,Turnover
33,26,Make
34,49,Miss
35,19,Turnover
36,12,Make
37,11,Miss
38,35,Turnover
39,8,Make
40,20,Make
41,11,Turnover
42,11,Miss
43,30,Miss
44,45,Miss
45,26,Miss
46,2,Turnover
47,13,Make
48,11,Miss
49,19,Make
50,17,Turnover
51,21,Miss
52,10,Turnover
53,25,Miss
54,4,Turnover
55,27,Make
56,8,Miss
0,19,Turnover
1,17,Turnover
2,3,Make
3,20,Miss
4,25,Miss
5,9,Turnover
6,9,Miss
7,37,Make
8,24,Turnover
9,40,Miss
10,6,Make
11,10,Turnover
12,24,Miss
13,20,Make
14,21,Miss
15,59,Miss
16,19,Make
17,16,Turnover
18,0,Make
19,10,Miss
20,35,Miss
21,19,Make
22,19,Make
23,10,Make
24,27,Turnover
25,36,Miss
26,14,Turnover
27,40,Miss
28,6,Make
29,11,Turnover
30,14,Miss
31,21,Make
