,Length,Outcome
0,9,Miss
1,8,Make
2,37,Miss
3,7,Turnover
4,7,Make
5,11,Turnover
6,8,Make
7,7,Turnover
8,26,Make
9,49,Miss
10,19,Turnover
11,12,Make
12,46,Turnover
13,8,Make
14,20,Make
15,11,Turnover
16,11,Miss
17,30,Miss
18,45,Miss
19,26,Miss
20,2,Turnover
21,13,Make
22,11,Miss
23,19,Make
24,17,Turnover
25,9,Miss
26,8,Make
27,37,Miss
28,7,Turnover
29,7,Make
30,11,Turnover
31,8,Make
32,7,Turnover
33,26,Make
34,49,Miss
35,19,Turnover
36,12,Make
37,11,Miss
38,35,Turnover
39,8,Make
40,20,Make
41,11,Turnover
42,11,Miss
43,30,Miss
44,45,Miss
45,26,Miss
46,2,Turnover
47,13,Make
48,11,Miss
49,19,Make
50,17,Turnover
51,21,Miss
52,10,Turnover
53,25,Miss
54,4,Turnover
55,27,Make
56,8,Miss
57,19,Turnover
58,17,Turnover
59,3,Make
60,20,Miss
61,25,Miss
62,9,Turnover
63,9,Miss
64,37,Make
65,24,Turnover
66,40,Miss
67,6,Make
68,10,Turnover
69,24,Miss
70,20,Make
71,21,Miss
72,59,Miss
73,19,Make
74,16,Turnover
75,0,Make
76,10,Miss
77,35,Miss
78,19,Make
79,19,Make
80,10,Make
81,27,Turnover
82,36,Miss
83,14,Turnover
84,40,Miss
85,6,Make
86,11,Turnover
87,14,Miss
88,21,Make
0,7,Miss
1,23,Miss
2,25,Turnover
3,27,Miss
4,22,Turnover
5,23,Make
6,26,Turnover
7,12,Turnover
8,20,Turnover
9,23,Miss
10,5,Make
11,14,Turnover
12,0,Make
13,16,Miss
14,9,Miss
15,12,Turnover
16,18,Turnover
17,25,Miss
18,0,Make
19,49,Make
20,27,Turnover
21,5,Make
22,29,Make
23,7,Make
24,21,Make
25,44,Miss
26,18,Miss
27,20,Turnover
28,9,Miss
29,24,Make
30,7,Turnover
31,11,Turnover
32,14,Miss
33,37,Turnover
34,4,Turnover
35,16,Turnover
36,11,Miss
