,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
0,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",1,8.3,17,15,2,5,1,1,6,0.62,13,0.56,16,0.5,6,0.25,4,4,0.5,5,1,0,1,5,7
1,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin",1,4.55,9,12,-3,1,4,0,1,0.41,17,0.78,9,0.0,4,1.0,1,8,0.62,0,2,1,1,2,5
2,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",1,4.15,8,10,-2,1,0,0,2,0.6,10,0.67,9,0.33,3,0.33,3,6,0.83,2,1,1,0,2,3
3,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",1,3.65,7,4,3,2,0,1,1,0.6,5,0.4,5,0.5,2,0.0,1,0,0.0,2,1,0,0,2,1
4,"Bryce Hopkins, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",1,3.12,7,4,3,2,0,1,3,0.6,5,0.38,8,0.33,3,0.0,3,0,0.0,2,0,0,0,3,0
5,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",1,3.05,3,5,-2,0,0,0,3,0.33,3,0.4,5,0.33,3,0.33,3,0,0.0,1,0,0,0,1,1
6,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman",1,1.85,1,0,1,0,0,1,2,0.25,4,0.0,3,0.0,2,0.0,2,2,0.5,0,2,0,0,0,3
7,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Thomas Kurowski",1,1.53,3,0,3,1,1,0,3,0.33,3,0.0,3,0.5,2,0.0,1,0,0.0,0,1,1,0,0,0
8,"Jackson Piotrowski, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",1,1.45,6,1,5,1,0,0,3,0.8,5,0.2,5,1.0,1,0.0,1,4,0.75,2,0,0,0,1,2
9,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Ryan Martin, Skyler Twyman",1,1.4,4,4,0,1,0,0,1,1.0,3,0.67,3,0.0,0,0.0,0,2,1.0,0,1,1,0,1,4
10,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",1,1.37,3,5,-2,1,0,1,0,0.5,2,0.6,5,1.0,1,0.0,0,0,0.0,0,0,0,0,2,0
11,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Ryan Martin, Zach Munson",1,1.22,3,6,-3,1,0,0,0,0.5,2,1.0,2,0.5,2,1.0,2,0,0.0,0,0,0,0,0,0
12,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin",1,1.18,2,2,0,1,0,0,0,1.0,1,1.0,1,0.0,0,0.0,0,0,0.0,2,1,1,0,2,0
13,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Ryan Martin",1,1.1,0,3,-3,0,0,0,1,0.0,1,0.75,4,0.0,1,0.0,0,0,0.0,0,0,0,0,2,0
14,"Arrish Bhandal, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",1,0.73,2,1,1,0,1,0,2,0.5,2,0.33,3,0.0,1,0.0,0,0,0.0,1,1,0,0,1,1
15,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Thomas Kurowski",1,0.63,0,2,-2,0,0,0,0,0.0,1,1.0,1,0.0,1,0.0,0,0,0.0,0,0,0,0,0,1
16,"Brandon Beckman, Elliot Paschal, Jackson Piotrowski, Leonardo Edo, Thomas Kurowski",1,0.38,3,0,3,0,0,0,0,1.0,2,0.0,0,0.0,0,0.0,0,1,1.0,0,1,0,0,1,2
17,"Brandon Beckman, Bryce Hopkins, Leonardo Edo, Ryan Martin, Skyler Twyman",1,0.07,0,0,0,0,0,0,1,0.0,0,0.0,1,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0
