Ab Rv,City,Color Primary,Color Secondary,Conference,Country,Display Name,Division,Hash,ID,Image URL,League ID,Name,Nick,State,Timestamp,Venue ID,Version
,,0,0,INDEPENDENT,,Daniel Webster,3,1980740287286214656,ab17e72a-753d-4a87-9cad-c0a99fdd7b88,https://stats-assets.fastmodelsports.com/images/teams/Daniel Webster,906c9b55-3e7c-4027-a29b-2289c5790b02,Daniel Webster,Eagles,NH,,,
,,492E8F,FEDE00,WIAC,,Wis.-Stevens Point,3,1426893523491225600,6a270558-fa63-404d-8f26-8356e8f01ed6,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/UW-Stevens Point.png,906c9b55-3e7c-4027-a29b-2289c5790b02,UW-Stevens Point,Pointers,WI,,,
,,263b86,efac12,WIAC,,Wis.-Eau Claire,3,1894222760280850432,71e5b3ad-e3da-4d0f-b732-6d5dcf810c1e,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/UW-Eau Claire.png,906c9b55-3e7c-4027-a29b-2289c5790b02,UW-Eau Claire,Blugolds,WI,,,
,,0,FFCE46,WIAC,,Wis.-Superior,3,1589178074644086784,180d5b28-5fe1-47a3-905c-3cbdfc11e933,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Wisconsin-Superior.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Wisconsin-Superior,Yellowjackets,WI,,,
,,2441,0,WIAC,,Wis.-Stout,3,3872343735991795712,830572cc-8418-4cb0-a03f-3ba0f50f717d,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/UW-Stout.png,906c9b55-3e7c-4027-a29b-2289c5790b02,UW-Stout,Blue Devils,WI,,,
,,0072CE,EAAA00,SUNYAC,,Fredonia,3,2381915768460673024,e9750f27-83f9-4cd7-b292-e6e20fd580ff,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Fredonia.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Fredonia,Blue Devils,NY,,,
,,3057,DC4405,WIAC,,Northland,3,1784189286602506240,449d864c-4988-471e-8d53-4df45dd611be,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Northland.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Northland,Lumberjacks,WI,,,
,,183b1c,e7b11f,New England Hockey (Men),,Skidmore,3,1791414916242997248,d4343047-cea0-4de3-bd91-68f6f07f6afd,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Skidmore.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Skidmore,Thoroughbreds,NY,,,
,,00594C,10101,SUNYAC,,SUNY Morrisville,3,963433800979709952,0b53fac8-5ead-4c84-a8dd-39386914e388,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/SUNY Morrisville.png,906c9b55-3e7c-4027-a29b-2289c5790b02,SUNY Morrisville,Mustangs,NY,,,
,,EBB702,0,MIAC,,Gust. Adolphus,3,2936966312804483072,da3a9918-79c4-4edb-bb1a-a8879975dd9c,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Gustavus Adolphus.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Gustavus Adolphus,Golden Gusties,MN,,,
,,6C1D45,EAAA00,MIAC,,Concordia-M'head,3,1716904743407714304,baeb3e71-e3b3-4411-92a6-3180c1509025,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Concordia-Moorhead.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Concordia-Moorhead,Cobbers,MN,,,
,,2855,A4C8E1,NESCAC,,Connecticut Col.,3,1391164901736579072,db7cadff-e614-408e-ac68-12b9090de032,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Connecticut College.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Connecticut College,Camels,CT,,,
,,071D49,BA0C2F,New England Hockey (Men),,New England Col.,3,2593807915584323584,0f2b1ac8-9dd3-43b9-a8b6-88a3314be143,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/New England College.png,906c9b55-3e7c-4027-a29b-2289c5790b02,New England College,Pilgrims,NH,,,
,,00529b,fdbc0f,New England Hockey (Men),,Southern Me.,3,2403436090791821312,e49722b6-b9a7-4428-b626-015c90b36816,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Southern Maine.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Southern Maine,Huskies,ME,,,
,,00529b,fdb813,CCC,,Western New Eng.,3,4579538052925358080,0a18d21b-24e7-4923-80dc-b8fa86788322,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Western New England.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Western New England,Golden Bears,MA,,,
,,003DA5,C1C6C8,DIII Independent,,Albertus Magnus,3,4079866481888722944,5a93b44f-b4dd-4a2d-a10b-42c74ee95396,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Albertus Magnus.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Albertus Magnus,Falcons,CT,,,
,,154734,FFCD00,SUNYAC,,SUNY Brockport,3,139189436112961536,b071e428-f308-4375-8887-74e233dbdac2,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Brockport.png,906c9b55-3e7c-4027-a29b-2289c5790b02,SUNY Brockport,Golden Eagles,NY,,,
,,FFB81C,C1C6C8,NCHA,,Adrian,3,2480708251868463104,61d70f84-fd39-4a13-b307-8f118b0b90d4,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Adrian.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Adrian,Bulldogs,MI,,,
,,1e356e,b99a5e,DIII Independent,,SUNY Canton,3,3679456119073275904,94b9afb8-84cd-429c-a741-6f19db87fb02,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/SUNY Canton.png,906c9b55-3e7c-4027-a29b-2289c5790b02,SUNY Canton,Kangaroos,NY,,,
,,003C71,F1C400,UCHC (Men),,Neumann,3,832029040335388672,d37497ec-0852-4051-bc7b-1e46f89faa83,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Neumann.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Neumann,Knights,PA,,,
,,5F259F,101820,NESCAC,,Amherst,3,1631462386302976000,82e13207-e71e-4d63-a12f-ad7f01d0d46c,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Amherst.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Amherst,Mammoths,MA,,,
,,8A1538,10101,DIII Independent,,Anna Maria,3,3775677040204709888,0ba0afa3-57fa-4278-9fdb-1b61a998c4f3,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Anna Maria.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Anna Maria,AMCATS,MA,,,
,,6F263D,75787B,MIAC,,Augsburg,3,3920873224304328704,2e20ca65-9953-45a2-863a-8c7063b0f05f,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Augsburg.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Augsburg,Auggies,MN,,,
,,3594,333F48,NCHA,,Aurora,3,24802315147935744,5d1b7239-ea59-4c78-9435-3f7de68c0888,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Aurora.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Aurora,Spartans,IL,,,
,,6341,A2AAAD,New England Hockey (Men),,Babson,3,2991794424343691264,b94ec715-7385-40b1-a57c-7ea1814ccaab,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Babson.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Babson,Beavers,MA,,,
,,3087,999999,CCC,,Becker,3,2330765336485298176,c61d8800-3f6e-49fc-b590-fac69a5176f4,https://download.fastmodeltechnologies.com/FSimages/logos/NCAAB-III/Becker.png,906c9b55-3e7c-4027-a29b-2289c5790b02,Becker,Hawks,MA,,,
