,Shot Type,Outcome
0,No-Dribble Pull-Up,1
1,Dribble Pull-Up,1
2,Catch and Shoot (Set),0
3,Dribble Pull-Up,1
4,Dribble Pull-Up,0
5,Step-Through,0
6,Catch and Shoot (Set),0
7,Pick-and-Roll Drive,1
8,Dribble Pull-Up,1
9,Dribble Pull-Up,1
10,Catch and Shoot (Moving),0
11,Catch and Shoot (Set),0
12,Post Hook,1
13,Post Fade,1
14,Isolation Drive,1
15,No-Dribble Pull-Up,0
16,Step-Through,0
17,Dribble Pull-Up,1
18,Dribble Pull-Up,0
19,Dribble Pull-Up,1
20,Dribble Pull-Up,0
21,Transition Layup,0
22,Transition Layup,1
23,Post Fade,1
24,Catch and Shoot (Moving),0
25,Dribble Pull-Up,1
26,Catch and Shoot (Set),1
27,Dribble Pull-Up,0
28,Dribble Pull-Up,1
29,Isolation Drive,0
30,No-Dribble Pull-Up,1
31,Catch and Shoot (Set),1
32,Isolation Drive,0
33,Dribble Pull-Up,0
34,Isolation Drive,0
35,Isolation Drive,1
36,Catch and Shoot (Set),0
37,Dribble Pull-Up,1
38,Isolation Drive,0
39,Post Layup,1
40,Catch and Shoot (Set),1
41,Transition Layup,0
42,Pick-and-Roll Drive,1
