,Play Type,Outcome
0,Offensive Rebound,0
1,Offensive Rebound,0
2,Post-Up (Left),0
3,Post-Up (Left),0
4,Post-Up (Left),0
5,Post-Up (Left),0
6,Post-Up (Left),0
7,Post-Up (Left),0
8,Post-Up (Left),0
9,Post-Up (Left),0
10,Post-Up (Left),0
11,Post-Up (Left),1
12,Post-Up (Left),1
13,Post-Up (Left),1
14,Post-Up (Left),1
15,Post-Up (Left),1
16,Post-Up (Left),1
17,Post-Up (Left),1
18,Post-Up (Left),1
19,Post-Up (Left),1
20,Post-Up (Left),1
21,Drive + Dump,1
22,Drive + Dump,1
23,Catch + Shoot (3PT),0
24,Catch + Shoot (3PT),0
25,Catch + Shoot (3PT),0
26,Catch + Shoot (3PT),0
27,Catch + Shoot (2PT),0
28,Drive Left,0
29,Drive Left,1
30,Post-Up (Right),1
31,Post-Up (Right),1
32,Transition,1
