,Time,Action,Team
0,09:39,"CHINTALA,ANISHA missed layup",Opponent
1,09:36,"CHINTALA,ANISHA offensive rebound",Opponent
2,09:36,"CHINTALA,ANISHA made layup",Opponent
3,09:18,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
4,09:14,"LAUDICK,MORGAN offensive rebound",Emory
5,09:05,"BROCK,CLAIRE missed jump shot",Emory
6,09:01,"MARTIN,ERIN offensive rebound",Emory
7,08:55,"AUZA,MARIANE missed jump shot",Emory
8,08:52,"CHINTALA,ANISHA defensive rebound",Opponent
9,08:39,"GIBBS,SAVANNAH made layup",Opponent
10,08:39,"Assist by CHINTALA,ANISHA",Opponent
11,08:25,"MARTIN,ERIN made layup",Emory
12,08:25,"Assist by BROCK,CLAIRE",Emory
13,08:19,"Turnover by OR,CATHERINE",Opponent
14,08:19,"Steal by BROCK,CLAIRE",Emory
15,08:12,"BROCK,CLAIRE missed jump shot",Emory
16,08:06,"MARTIN,ERIN offensive rebound",Emory
17,07:59,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
18,07:56,TEAM offensive rebound,Emory
19,07:49,"BROCK,CLAIRE missed layup",Emory
20,07:45,"CHINTALA,ANISHA defensive rebound",Opponent
21,07:43,"Turnover by CHINTALA,ANISHA",Opponent
22,07:43,"Steal by AUZA,MARIANE",Emory
23,07:27,"BROCK,CLAIRE missed jump shot",Emory
24,07:22,"OR,CATHERINE defensive rebound",Opponent
25,07:09,"CHINTALA,ANISHA missed 3-pt. jump shot",Opponent
26,07:06,"OR,CATHERINE offensive rebound",Opponent
27,06:55,"MATSKO,MEGAN missed layup",Opponent
28,06:53,TEAM offensive rebound,Opponent
29,06:53,"ANGWIN,ELLEN
                                 goes to the bench",Opponent
30,06:53,"BLACK,AVA
                                 enters the game",Opponent
31,06:44,"OR,CATHERINE missed jump shot",Opponent
32,06:41,TEAM defensive rebound,Emory
33,06:12,"BROCK,CLAIRE made 3-pt. jump shot",Emory
34,06:12,"Assist by MARTIN,ERIN",Emory
35,05:58,"BLACK,AVA missed layup",Opponent
36,05:56,TEAM defensive rebound,Emory
37,05:56,"Foul by BLACK,AVA",Opponent
38,05:56,"LAUDICK,MORGAN
                                 goes to the bench",Emory
39,05:56,"GROSS,PAIGE
                                 enters the game",Emory
40,05:56,"CHINTALA,ANISHA
                                 goes to the bench",Opponent
41,05:56,"PRASAD,ANIKA
                                 enters the game",Opponent
42,05:40,"ARONSKY,DANIELLA missed layup",Emory
43,05:37,"OR,CATHERINE defensive rebound",Opponent
44,05:32,"Turnover by PRASAD,ANIKA",Opponent
45,05:32,"Steal by MARTIN,ERIN",Emory
46,05:23,"Foul by GIBBS,SAVANNAH",Opponent
47,05:23,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
48,05:23,"KENNEDY,LILY
                                 enters the game",Emory
49,05:23,"MARTIN,ERIN made free throw",Emory
50,05:23,"MARTIN,ERIN made free throw",Emory
51,05:02,"MATSKO,MEGAN made layup",Opponent
52,04:51,"KENNEDY,LILY made layup",Emory
53,04:25,"OR,CATHERINE missed 3-pt. jump shot",Opponent
54,04:21,"BROCK,CLAIRE defensive rebound",Emory
55,04:09,"Turnover by GROSS,PAIGE",Emory
