,Time,Action,Team
0,09:50,"LAUDICK,MORGAN missed layup",Emory
1,09:50,"SMALLY,SHANNON defensive rebound",Opponent
2,09:27,"Turnover by SMALLY,SHANNON",Opponent
3,09:23,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
4,09:23,TEAM offensive rebound,Emory
5,09:04,"Turnover by ARONSKY,DANIELLA",Emory
6,08:48,"SMALLY,SHANNON missed 3-pt. jump shot",Opponent
7,08:48,"AUZA,MARIANE defensive rebound",Emory
8,08:29,"MARTIN,ERIN missed layup",Emory
9,08:29,"GRESKO,CAITLIN defensive rebound",Opponent
10,08:23,"MARCHESE,FRANCESCA made layup",Opponent
11,08:23,"Assist by GRESKO,CAITLIN",Opponent
12,08:01,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
13,07:42,"MARCHESE,FRANCESCA missed 3-pt. jump shot",Opponent
14,07:42,"LAUDICK,MORGAN defensive rebound",Emory
15,07:35,"AUZA,MARIANE made layup",Emory
16,07:35,"Assist by ARONSKY,DANIELLA",Emory
17,07:22,"Turnover by GRESKO,CAITLIN",Opponent
18,07:22,"Steal by AUZA,MARIANE",Emory
19,07:20,"Turnover by AUZA,MARIANE",Emory
20,07:19,"Steal by GRESKO,CAITLIN",Opponent
21,07:17,"REAVIS,EMMA made layup",Opponent
22,07:06,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
23,07:06,"Assist by MARTIN,ERIN",Emory
24,06:56,"Foul by AUZA,MARIANE",Emory
25,06:56,"MUNSON,IZZY
                                 enters the game",Emory
26,06:56,"AUZA,MARIANE
                                 goes to the bench",Emory
27,06:52,"REAVIS,EMMA missed jump shot",Opponent
28,06:52,"MUNSON,IZZY defensive rebound",Emory
29,06:44,"LAUDICK,MORGAN missed jump shot",Emory
30,06:44,"REAVIS,EMMA defensive rebound",Opponent
31,06:15,"PIERRE,TATHIANA missed layup",Opponent
32,06:15,"MARTIN,ERIN defensive rebound",Emory
33,06:08,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
34,05:54,"Foul by MUNSON,IZZY",Emory
35,05:54,"GROSS,PAIGE
                                 enters the game",Emory
36,05:54,"LAUDICK,MORGAN
                                 goes to the bench",Emory
37,05:54,"OBAR,MOLLIE
                                 enters the game",Opponent
38,05:54,"OHM,LULU
                                 enters the game",Opponent
39,05:54,"PIERRE,TATHIANA
                                 goes to the bench",Opponent
40,05:54,"SMALLY,SHANNON
                                 goes to the bench",Opponent
41,05:48,"GRESKO,CAITLIN missed layup",Opponent
42,05:48,"MARTIN,ERIN defensive rebound",Emory
43,05:42,"GROSS,PAIGE missed layup",Emory
44,05:42,"REAVIS,EMMA defensive rebound",Opponent
45,05:35,"REAVIS,EMMA missed layup",Opponent
46,05:35,"ARONSKY,DANIELLA defensive rebound",Emory
47,05:34,"Foul by REAVIS,EMMA",Opponent
48,05:34,"GONZALEZ,SELENYA
                                 enters the game",Opponent
49,05:34,"REAVIS,EMMA
                                 goes to the bench",Opponent
50,05:23,"BROCK,CLAIRE missed jump shot",Emory
51,05:23,"GROSS,PAIGE offensive rebound",Emory
