,Length,Outcome
0,4,Miss
1,19,Turnover
2,19,Miss
3,22,Make
4,7,Make
5,2,Turnover
6,11,Make
7,8,Miss
8,7,Make
9,6,Miss
10,12,Miss
11,4,Miss
12,4,Shooting Foul
13,12,Make
14,18,Miss
15,13,Make
16,21,Miss
17,21,Make
18,17,Turnover
19,11,Miss
20,10,Miss
21,1,Turnover
22,11,Make
23,10,Turnover
24,17,Turnover
25,11,Turnover
26,29,Make
27,15,Miss
28,19,Miss
29,21,Make
30,30,Make
31,17,Make
32,13,Turnover
33,23,Make
34,13,Make
35,20,Make
36,7,Shooting Foul
37,11,Make
38,3,Miss
39,9,Miss
40,8,Miss
41,8,Make
42,3,Shooting Foul
46,16,Make
47,6,Shooting Foul
48,10,Make
49,7,Make
50,10,Miss
51,14,Miss
52,8,Miss
53,14,Make
57,60,Miss
58,17,Miss
59,16,Miss
60,16,Miss
61,15,Make
62,10,Turnover
63,15,Make
64,7,Turnover
65,16,Make
66,12,Turnover
67,14,Turnover
68,2,Make
69,21,Miss
70,9,Make
71,9,Make
72,7,Make
73,22,Miss
74,8,Miss
75,18,Miss
76,8,Miss
77,16,Miss
78,7,Shooting Foul
79,1,Miss
80,20,Make
81,12,Miss
82,16,Make
83,20,Miss
