,Length,Outcome
0,18,Miss
1,13,Miss
2,10,Miss
3,14,Make
4,7,Miss
5,13,Miss
6,10,Miss
7,16,Miss
8,32,Make
9,18,Miss
10,9,Shooting Foul
11,11,Make
12,16,Turnover
13,12,Miss
14,15,Turnover
15,7,Miss
16,17,Miss
17,11,Miss
18,17,Make
19,10,Make
20,9,Miss
21,18,Shooting Foul
22,17,Make
23,9,Make
24,13,Make
25,14,Miss
26,22,Make
27,9,Miss
28,3,Miss
29,30,Make
30,22,Miss
31,8,Make
32,8,Miss
33,15,Miss
34,8,Turnover
35,9,Miss
36,23,Miss
37,6,Miss
38,21,Make
39,8,Make
40,9,Turnover
41,9,Miss
42,14,Make
43,27,Turnover
44,15,Miss
45,29,Miss
46,14,Miss
47,11,Turnover
48,15,Make
49,5,Miss
50,13,Shooting Foul
51,21,Miss
52,6,Make
53,10,Miss
54,7,Make
55,6,Make
56,14,Miss
57,28,Turnover
58,7,Miss
59,24,Shooting Foul
60,14,Miss
61,13,Turnover
62,12,Miss
63,10,Make
64,15,Miss
65,8,Miss
66,6,Make
67,13,Miss
68,9,Miss
69,4,Miss
70,26,Make
71,0,Shooting Foul
72,9,Turnover
73,19,Miss
74,5,Make
75,30,Miss
76,0,Miss
77,27,Turnover
78,1,Make
