,Time,Action,Team
0,09:36,"BROCK,CLAIRE made 3-pt. jump shot",Emory
1,09:36,"Assist by ARONSKY,DANIELLA",Emory
2,09:24,"CHARACKLIS,KAYLA missed jump shot",Opponent
3,09:21,"AUZA,MARIANE defensive rebound",Emory
4,09:15,"Turnover by ARONSKY,DANIELLA",Emory
5,09:15,"Steal by MILLS,ISABELLA",Opponent
6,09:03,"MILLS,ISABELLA made 3-pt. jump shot",Opponent
7,09:03,"Assist by TERRY,MARGARET",Opponent
8,08:52,"Turnover by LAUDICK,MORGAN",Emory
9,08:52,"Steal by PLACHTA,EMILY",Opponent
10,08:30,"TERRY,MARGARET missed 3-pt. jump shot",Opponent
11,08:26,"BROCK,CLAIRE defensive rebound",Emory
12,08:26,"Foul by MITCHELL,SARAH",Opponent
13,08:16,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
14,08:11,"MILLS,ISABELLA defensive rebound",Opponent
15,07:46,"TERRY,MARGARET missed jump shot",Opponent
16,07:44,"ARONSKY,DANIELLA defensive rebound",Emory
17,07:26,"LAUDICK,MORGAN missed jump shot",Emory
18,07:21,"PLACHTA,EMILY defensive rebound",Opponent
19,07:02,"CHARACKLIS,KAYLA missed layup",Opponent
20,07:02,"Block by MARTIN,ERIN",Emory
21,06:58,"MARTIN,ERIN defensive rebound",Emory
22,06:52,"AUZA,MARIANE missed jump shot",Emory
23,06:50,"TERRY,MARGARET defensive rebound",Opponent
24,06:43,"MITCHELL,SARAH missed layup",Opponent
25,06:43,"Block by ARONSKY,DANIELLA",Emory
26,06:37,"MARTIN,ERIN defensive rebound",Emory
27,06:28,"MARTIN,ERIN made layup",Emory
28,06:16,"MILLS,ISABELLA missed 3-pt. jump shot",Opponent
29,06:15,TEAM defensive rebound,Emory
30,06:15,"LAUDICK,MORGAN
                                 goes to the bench",Emory
31,06:15,"GROSS,PAIGE
                                 enters the game",Emory
32,06:15,"MITCHELL,SARAH
                                 goes to the bench",Opponent
33,06:15,"MOORE,NYAH
                                 enters the game",Opponent
34,06:01,"BROCK,CLAIRE made 3-pt. jump shot",Emory
35,05:49,"CHARACKLIS,KAYLA made jump shot",Opponent
36,05:49,"Assist by TERRY,MARGARET",Opponent
37,05:33,"Turnover by AUZA,MARIANE",Emory
38,05:29,"AUZA,MARIANE
                                 goes to the bench",Emory
39,05:29,"MUNSON,IZZY
                                 enters the game",Emory
40,05:14,"PLACHTA,EMILY missed 3-pt. jump shot",Opponent
41,05:10,"CHARACKLIS,KAYLA offensive rebound",Opponent
42,05:05,"Foul by PLACHTA,EMILY",Opponent
43,05:05,"Turnover by PLACHTA,EMILY",Opponent
44,05:05,"MARTIN,ERIN
                                 goes to the bench",Emory
45,05:05,"LAUDICK,MORGAN
                                 enters the game",Emory
