,Length,Outcome
0,9,Turnover
1,11,Turnover
2,14,Miss
3,20,Miss
4,10,Miss
5,15,Make
6,15,Make
7,16,Turnover
8,14,Make
9,13,Miss
10,12,Miss
11,13,Miss
12,7,Make
13,14,Miss
14,4,Make
15,11,Make
16,9,Make
17,23,Turnover
18,7,Turnover
19,19,Make
20,8,Miss
21,31,Miss
22,1,Turnover
23,12,Miss
24,16,Miss
25,3,Make
26,16,Make
27,9,Miss
28,25,Miss
29,26,Miss
30,32,Miss
31,5,Miss
32,12,Make
33,29,Turnover
34,13,Turnover
35,18,Turnover
36,30,Make
37,13,Miss
38,7,Miss
39,20,Make
40,26,Make
41,20,Miss
42,10,Make
43,29,Turnover
44,10,Miss
45,10,Miss
46,6,Shooting Foul
47,9,Shooting Foul
48,12,Make
49,10,Make
50,5,Make
51,1,Shooting Foul
52,19,Miss
53,17,Turnover
54,11,Miss
55,10,Miss
56,9,Make
57,25,Make
58,29,Miss
59,13,Miss
60,16,Miss
61,4,Make
62,17,Turnover
63,14,Miss
64,6,Make
65,12,Miss
66,3,Make
67,24,Miss
68,11,Make
69,8,Miss
70,13,Shooting Foul
71,15,Make
72,25,Make
73,6,Make
74,29,Make
75,20,Miss
76,8,Miss
77,3,Miss
78,20,Make
79,26,Make
