,Time,Action,Team
0,09:37,"BRUNS,NATALIE missed layup",Opponent
1,09:35,"MARTIN,ERIN defensive rebound",Emory
2,09:12,"BROCK,CLAIRE missed layup",Emory
3,09:12,"Block by WALKER,JENNY",Opponent
4,09:12,"BROCK,CLAIRE offensive rebound",Emory
5,09:12,"MARTIN,ERIN missed layup",Emory
6,09:09,"WALKER,JENNY defensive rebound",Opponent
7,08:51,"WALKER,JENNY missed layup",Opponent
8,08:48,"LAUDICK,MORGAN defensive rebound",Emory
9,08:32,"Turnover by BROCK,CLAIRE",Emory
10,08:32,"Steal by MILLER,ERICA",Opponent
11,08:10,"SHELTON,BROOKLYN missed layup",Opponent
12,08:08,"MARTIN,ERIN defensive rebound",Emory
13,07:57,"BROCK,CLAIRE missed jump shot",Emory
14,07:55,"WALKER,JENNY defensive rebound",Opponent
15,07:55,"Foul by AUZA,MARIANE",Emory
16,07:39,"WALKER,JENNY missed jump shot",Opponent
17,07:37,"BRUNS,NATALIE offensive rebound",Opponent
18,07:36,"BRUNS,NATALIE missed layup",Opponent
19,07:36,TEAM offensive rebound,Opponent
20,07:34,"BRUNS,NATALIE made layup",Opponent
21,07:34,"Foul by AUZA,MARIANE",Emory
22,07:34,"BRUNS,NATALIE made free throw",Opponent
23,07:34,"AUZA,MARIANE
                                 goes to the bench",Emory
24,07:34,"MUNSON,IZZY
                                 enters the game",Emory
25,07:16,"LAUDICK,MORGAN missed jump shot",Emory
26,07:14,"PELLECCHIA,BELLE defensive rebound",Opponent
27,06:59,"WALKER,JENNY missed layup",Opponent
28,06:57,"ARONSKY,DANIELLA defensive rebound",Emory
29,06:53,"MARTIN,ERIN made layup",Emory
30,06:53,"Assist by ARONSKY,DANIELLA",Emory
31,06:48,"BRUNS,NATALIE missed layup",Opponent
32,06:45,"ARONSKY,DANIELLA defensive rebound",Emory
33,06:23,"LAUDICK,MORGAN made jump shot",Emory
34,06:23,"Assist by MUNSON,IZZY",Emory
35,06:08,"WALKER,JENNY made layup",Opponent
36,06:08,"Assist by MILLER,ERICA",Opponent
37,05:56,"LAUDICK,MORGAN made jump shot",Emory
