,Length,Outcome
0,25,Miss
1,0,Miss
2,19,Turnover
3,13,Miss
4,18,Miss
5,6,Make
6,25,Make
7,12,Make
8,14,Turnover
9,18,Make
10,17,Make
11,20,Miss
12,4,Miss
13,20,Turnover
14,28,Miss
15,11,Turnover
16,17,Make
17,17,Make
18,10,Turnover
19,25,Miss
20,15,Turnover
21,28,Miss
22,8,Miss
23,21,Shooting Foul
24,10,Miss
25,25,Miss
26,10,Make
27,25,Miss
28,15,Make
29,15,Turnover
30,21,Miss
31,12,Miss
32,10,Miss
33,8,Turnover
34,14,Miss
35,26,Miss
36,37,Make
37,6,Turnover
38,13,Shooting Foul
39,12,Turnover
40,11,Miss
41,5,Make
42,11,Turnover
43,9,Miss
44,19,Make
45,8,Turnover
46,14,Make
47,11,Make
48,5,Shooting Foul
49,7,Miss
50,13,Miss
51,3,Miss
52,13,Miss
53,9,Miss
54,10,Turnover
55,11,Miss
56,16,Miss
57,9,Make
58,3,Turnover
59,24,Miss
60,17,Miss
61,7,Make
62,8,Miss
63,7,Turnover
64,11,Make
65,20,Turnover
66,24,Miss
67,15,Miss
68,11,Make
69,8,Make
70,16,Miss
71,3,Miss
72,7,Turnover
73,8,Shooting Foul
74,19,Miss
75,5,Miss
76,3,Miss
77,7,Miss
78,12,Make
79,14,Make
80,13,Make
81,4,Make
82,11,Turnover
83,19,Miss
84,20,Make
85,13,Miss
86,5,Turnover
87,14,Miss
