,Play Type,Outcome
0,Use Right,T
1,Use Right,T
2,Use Right,P
3,Use Right,P
4,Use Right,P
5,Use Right,P
6,Use Right,P
7,Use Right,P
8,Use Right,P
9,Use Right,P
10,Use Right,P
11,Use Right,P
12,Use Right,0
13,Use Right,0
14,Use Right,0
15,Use Left,0
16,Use Left,1
17,Use Left,1
18,Use Left,P
19,Use Left,P
20,Use Left,P
21,Use Left,P
22,Use Left,P
23,Use Left,P
24,Use Left,P
25,Use Left,P
26,Use Left,P
27,Use Left,F
28,Reject Right,F
29,Reject Right,F
30,Reject Right,P
31,Reject Left,0
32,Reject Left,F
33,Reject Left,P
34,Reject Left,P
