,Time,Action,Team
0,09:48,"TITUS,KATIE missed 3-pt. jump shot",Opponent
1,09:48,"Block by ARONSKY,DANIELLA",Emory
2,09:39,"AUZA,MARIANE defensive rebound",Emory
3,09:36,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
4,09:34,"LAUDICK,MORGAN offensive rebound",Emory
5,09:27,"BROCK,CLAIRE missed jump shot",Emory
6,09:23,"MCCULLEY,CALLIE defensive rebound",Opponent
7,09:16,"TITUS,KATIE made layup",Opponent
8,09:16,"Assist by LEVERONE,MAURA",Opponent
9,09:03,"AUZA,MARIANE made jump shot",Emory
10,08:49,"TITUS,KATIE made layup",Opponent
11,08:49,"Assist by MCCULLEY,CALLIE",Opponent
12,08:21,"MARTIN,ERIN missed jump shot",Emory
13,08:18,"AUZA,MARIANE offensive rebound",Emory
14,08:09,"LAUDICK,MORGAN made layup",Emory
15,08:09,"Assist by BROCK,CLAIRE",Emory
16,07:52,"SESTRIC,ALEXIS missed layup",Opponent
17,07:49,"BROCK,CLAIRE defensive rebound",Emory
18,07:45,"AUZA,MARIANE made jump shot",Emory
19,07:45,"Assist by BROCK,CLAIRE",Emory
20,07:29,"STITES,KELSEY made layup",Opponent
21,07:29,"Assist by MCCULLEY,CALLIE",Opponent
22,07:09,"BROCK,CLAIRE made jump shot",Emory
23,07:09,"Assist by AUZA,MARIANE",Emory
24,06:56,"TITUS,KATIE missed layup",Opponent
25,06:56,"Block by AUZA,MARIANE",Emory
26,06:50,"BROCK,CLAIRE defensive rebound",Emory
27,06:47,"LAUDICK,MORGAN missed jump shot",Emory
28,06:43,"MARTIN,ERIN offensive rebound",Emory
29,06:33,"MARTIN,ERIN made layup",Emory
30,06:33,"Assist by BROCK,CLAIRE",Emory
31,06:14,"MCCULLEY,CALLIE made jump shot",Opponent
32,06:14,"Assist by TITUS,KATIE",Opponent
33,05:58,"MARTIN,ERIN made layup",Emory
34,05:58,"Assist by BROCK,CLAIRE",Emory
35,05:53,"Turnover by MCCULLEY,CALLIE",Opponent
36,05:53,"Steal by AUZA,MARIANE",Emory
