,Play Type,Outcome
0,Isolation/Drive,0
1,Isolation/Drive,0
2,Isolation/Drive,0
3,Isolation/Drive,0
4,Isolation/Drive,0
5,Isolation/Drive,0
6,Isolation/Drive,0
7,Isolation/Drive,0
8,Isolation/Drive,0
9,Isolation/Drive,0
10,Isolation/Drive,1
11,Isolation/Drive,1
12,Catch + Shoot,0
13,Catch + Shoot,0
14,Catch + Shoot,0
15,Catch + Shoot,0
16,Catch + Shoot,0
17,Catch + Shoot,0
18,Catch + Shoot,0
19,Catch + Shoot,0
20,Catch + Shoot,0
21,Catch + Shoot,0
22,Catch + Shoot,0
23,Catch + Shoot,1
24,Catch + Shoot,1
25,Catch + Shoot,1
26,Catch + Shoot,1
27,Catch + Shoot,1
28,Catch + Shoot,1
29,Catch + Shoot,1
30,Catch + Shoot,1
31,Transition,1
32,Transition,1
33,Transition,0
34,Transition,0
35,PnR Roll Man,0
36,PnR Roll Man,1
37,PnR Roll Man,1
38,PnR Roll Man,1
39,Pull-Up,0
40,Pull-Up,0
41,Pull-Up,0
42,Post-Up,0
43,Post-Up,0
44,Post-Up,0
45,Post-Up,0
