,Shot Type,Outcome
0,Catch and Shoot (Set),0
1,Catch and Shoot (Set),0
2,Isolation Drive,0
3,Catch and Shoot (Set),1
4,Catch and Shoot (Set),0
5,Floater,1
6,OREB Layup,1
7,Dribble Pull-Up,0
8,Catch and Shoot (Set),0
9,Catch and Shoot (Set),0
10,Catch and Shoot (Set),1
11,No-Dribble Pull-Up,0
12,Catch and Shoot (Set),0
13,Catch and Shoot (Set),1
14,Catch and Shoot (Set),1
15,Isolation Drive,1
16,Isolation Drive,0
17,Dribble Pull-Up,0
18,Catch and Shoot (Set),1
19,Catch and Shoot (Set),1
20,Catch and Shoot (Set),0
21,Catch and Shoot (Set),0
22,Catch and Shoot (Set),0
23,Post Hook,1
24,Dribble Pull-Up,1
25,Catch and Shoot (Set),1
26,Catch and Shoot (Set),0
27,Catch and Shoot (Set),0
28,Catch and Shoot (Set),0
29,Transition Layup,0
30,Catch and Shoot (Set),1
31,Catch and Shoot (Set),1
32,Catch and Shoot (Set),1
33,Dribble Pull-Up,0
34,Catch and Shoot (Set),0
35,Catch and Shoot (Set),0
36,Dribble Pull-Up,0
37,Catch and Shoot (Set),0
38,Catch and Shoot (Set),0
39,Dribble Pull-Up,1
40,Catch and Shoot (Set),0
41,Catch and Shoot (Set),1
42,Catch and Shoot (Set),0
43,Catch and Shoot (Set),0
44,Catch and Shoot (Set),1
45,Catch and Shoot (Set),1
46,Catch and Shoot (Set),0
47,Catch and Shoot (Set),1
48,Catch and Shoot (Moving),0
49,Catch and Shoot (Moving),1
