,Play Type,Outcome
0,Catch + Shoot 3,1
1,Catch + Shoot 3,1
2,Catch + Shoot 3,1
3,Catch + Shoot 3,0
4,Catch + Shoot 3,0
5,Catch + Shoot 3,0
6,Catch + Shoot 3,0
7,Catch + Shoot 3,0
8,Catch + Shoot 3,0
9,Catch + Shoot 3,0
10,Catch + Shoot 3,0
11,Catch + Shoot 3,0
12,Drive Left,0
13,Drive Left,0
14,Drive Left,0
15,Drive Left,0
16,Drive Left,0
17,Drive Left,1
18,Drive Left,1
19,Drive Left,1
20,Drive Left,1
21,Drive Left,F
22,Drive Left,F
23,Drive Right,1
24,Drive Right,1
25,Drive Right,1
26,Drive Right,1
27,Drive Right,1
28,Drive Right,1
29,Drive Right,F
30,Drive Right,F
31,Drive Right,0
32,Drive Right,0
33,Drive Right,0
34,Drive Right,0
35,Drive Right,0
36,Drive Right,0
37,Pull-Up 3,1
38,Pull-Up 3,0
39,Pull-Up 3,0
40,Pull-Up 3,0
41,Pull-Up 3,0
42,Pull-Up 3,0
43,Off-Ball Cut,1
44,Off-Ball Cut,1
45,Off-Ball Cut,F
46,Off-Ball Cut,F
47,Pull-Up 2,0
48,Pull-Up 2,0
49,Pull-Up 2,0
50,Pull-Up 2,0
