,Play Type,Outcome
0,Off-Ball Cut,0
1,Off-Ball Cut,1
2,Transition,1
3,Transition,1
4,Transition,1
5,Transition,1
6,Transition,1
7,Transition,1
8,Transition,1
9,Transition,0
10,Transition,0
11,Transition,0
12,Transition,0
13,Drive Right,0
14,Drive Right,0
15,Drive Right,0
16,Drive Right,1
17,Drive Right,1
18,Drive Right,1
19,Drive Right,1
20,Drive Right,1
21,Drive Left,0
22,Drive Left,0
23,Drive Left,0
24,Drive Left,0
25,Drive Left,0
26,Pull-Up 2,1
27,Pull-Up 2,0
28,Pull-Up 2,0
29,Pull-Up 2,0
30,Pull-Up 3,0
31,Pull-Up 3,0
32,Pull-Up 3,1
33,Post-Up (Left),1
34,Post-Up (Left),1
35,Post-Up (Left),0
36,Post-Up (Left),0
37,Post-Up (Right),0
38,Post-Up (Right),1
39,Catch + Shoot 3,1
40,Catch + Shoot 3,1
41,Catch + Shoot 3,1
42,Catch + Shoot 3,1
43,Catch + Shoot 3,0
44,Catch + Shoot 3,0
45,Catch + Shoot 3,0
46,Catch + Shoot 3,0
47,Catch + Shoot 3,0
48,Offensive Rebound,1
49,Offensive Rebound,1
50,Offensive Rebound,0
51,Offensive Rebound,0
