,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
0,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin, Zach Munson",21,233.75,364,387,-23,59,42,46,163,0.47,420,0.48,417,0.26,136,0.28,118,93,0.71,75,63,25,19,66,89
1,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Thomas Kurowski, Zach Munson",17,55.33,138,110,28,24,11,10,30,0.58,125,0.57,101,0.47,43,0.46,26,39,0.72,14,16,8,3,17,38
2,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin, Zach Munson",8,36.87,69,73,-4,18,12,6,19,0.43,74,0.57,65,0.37,35,0.41,17,10,0.8,9,11,4,2,14,15
3,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Leonardo Edo, Zach Munson",5,29.83,38,61,-23,4,5,8,16,0.4,48,0.53,53,0.17,18,0.48,21,5,0.6,9,3,1,4,10,6
4,"Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman, Zach Munson",14,29.38,64,41,23,11,7,4,24,0.59,63,0.41,54,0.42,19,0.23,13,22,0.82,7,9,5,1,9,17
5,"Brandon Beckman, Bryce Hopkins, Leonardo Edo, Ryan Martin, Zach Munson",2,17.48,28,28,0,4,3,3,8,0.57,28,0.54,26,0.0,6,0.14,7,5,0.8,3,4,1,2,3,6
6,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Skyler Twyman, Thomas Kurowski",8,16.83,24,28,-4,6,6,5,17,0.4,30,0.44,39,0.22,9,0.0,7,3,0.67,5,4,1,4,12,6
7,"Brandon Beckman, Bryce Hopkins, Skyler Twyman, Thomas Kurowski, Zach Munson",8,15.38,28,33,-5,5,5,1,6,0.46,26,0.67,27,0.36,14,0.6,5,1,1.0,1,5,0,0,8,4
8,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Thomas Kurowski, Zach Munson",9,14.1,26,26,0,5,4,3,10,0.45,31,0.52,29,0.27,15,0.57,7,7,0.86,3,3,1,2,7,7
9,"Arrish Bhandal, Bryce Hopkins, Elliot Paschal, Skyler Twyman, Thomas Kurowski",5,12.12,22,14,8,7,5,3,8,0.43,23,0.37,19,0.3,10,0.0,8,2,0.5,5,3,2,0,4,2
