,Play Type,Outcome
0,Catch + Shoot (2PT),0
1,Catch + Shoot (2PT),1
2,Catch + Shoot (2PT),1
3,Catch + Shoot (2PT),1
4,Catch + Shoot (2PT),1
5,Catch + Shoot (3PT),0
6,Catch + Shoot (3PT),0
7,Drive Left,1
8,Drive Left,1
9,Drive Left,0
10,Drive Left,0
11,Drive Left,0
12,Drive Left,0
13,Drive Left,0
14,Drive Left,0
15,Drive Right,1
16,Drive Right,1
17,Drive Right,1
18,Drive Right,1
19,Drive Right,1
20,Drive Right,1
21,Drive Right,0
22,Drive Right,0
23,Drive Right,0
24,Drive Right,0
25,Drive Right,0
26,Drive Right,0
27,Pull-Up (2PT),1
28,Off-Ball Cut,1
29,Off-Ball Cut,1
30,Off-Ball Cut,1
31,Off-Ball Cut,0
