,Play Type,Outcome
0,Pull-Up (3PT),0
1,Drive Right,1
2,Catch + Shoot (3PT),0
3,Drive Right,0
4,Catch + Shoot (3PT),0
5,Drive Right,0
6,Drive Right,0
7,Catch + Shoot (3PT),0
8,Drive Right,0
9,Drive Left,0
10,Pull-Up (2PT),1
11,Catch + Shoot (2PT),1
12,Transition,1
13,Drive Right,1
14,Pull-Up (3PT),1
15,Drive Left,1
16,Drive Right,1
17,Drive Right,0
18,Transition,1
19,Catch + Shoot (3PT),0
20,Drive Left,0
21,Catch + Shoot (3PT),0
22,Catch + Shoot (3PT),0
23,Catch + Shoot (3PT),0
24,Pull-Up (2PT),1
25,Drive Right,0
26,Off-Ball Cut,0
27,Off-Ball Cut,0
28,Offensive Rebound,1
29,PnR Roll Man,0
30,Offensive Rebound,0
31,Offensive Rebound,0
32,Off-Ball Cut,1
33,Offensive Rebound,1
34,Drive + Dump,1
35,Post-Up (Right),0
36,Post-Up (Left),0
37,Catch + Shoot (2PT),0
38,Catch + Shoot (2PT),1
39,Offensive Rebound,1
40,Transition,1
41,Post-Up (Right),0
42,Catch + Shoot (2PT),1
43,Post-Up (Right),1
44,Catch + Shoot (3PT),0
45,Post-Up (Right),0
46,Offensive Rebound,0
47,Post-Up (Left),1
48,Off-Ball Cut,1
49,Off-Ball Cut,0
50,PnR Roll Man,0
51,Offensive Rebound,0
52,Post-Up (Left),1
53,Offensive Rebound,1
54,Post-Up (Left),1
55,Offensive Rebound,1
56,Offensive Rebound,1
57,Catch + Shoot (3PT),0
58,Catch + Shoot (3PT),0
59,Pull-Up (3PT),0
60,Catch + Shoot (3PT),0
61,Catch + Shoot (3PT),0
62,Pull-Up (3PT),0
63,Pull-Up (2PT),1
64,Pull-Up (2PT),0
65,Catch + Shoot (3PT),0
66,Pull-Up (3PT),0
67,Pull-Up (2PT),0
68,Catch + Shoot (3PT),0
69,Catch + Shoot (3PT),0
70,Pull-Up (2PT),0
71,Pull-Up (2PT),0
72,Catch + Shoot (3PT),1
73,Catch + Shoot (3PT),0
74,Drive Right,1
75,Pull-Up (3PT),0
76,Pull-Up (2PT),1
77,Drive Left,1
78,Pull-Up (3PT),0
79,Catch + Shoot (3PT),0
80,Catch + Shoot (3PT),1
81,Pull-Up (2PT),0
82,Drive Left,0
83,Pull-Up (2PT),0
84,Pull-Up (2PT),1
85,Pull-Up (3PT),0
86,Pull-Up (3PT),0
87,Pull-Up (2PT),0
88,Drive Left,0
89,Catch + Shoot (3PT),1
90,Drive Right,0
91,Pull-Up (2PT),1
92,Catch + Shoot (3PT),0
93,Drive Left,0
94,Pull-Up (2PT),0
95,Catch + Shoot (3PT),0
96,Catch + Shoot (3PT),0
97,Catch + Shoot (3PT),0
98,Pull-Up (2PT),0
99,Pull-Up (2PT),0
100,Catch + Shoot (3PT),0
101,Pull-Up (2PT),0
102,Pull-Up (2PT),0
103,Pull-Up (2PT),0
104,Catch + Shoot (3PT),0
105,Catch + Shoot (3PT),0
106,Pull-Up (3PT),0
107,Drive Left,1
108,Pull-Up (3PT),1
109,Transition,0
110,Off-Ball Cut,0
111,Catch + Shoot (3PT),0
112,Drive Right,1
113,Catch + Shoot (3PT),0
114,Drive Left,0
115,Transition,1
116,Drive Left,1
117,Pull-Up (3PT),0
118,Drive Left,0
119,Drive Right,1
120,Drive Left,0
121,Drive Right,1
122,Catch + Shoot (3PT),0
123,Drive Right,0
124,Transition,0
125,Drive Left,0
126,Drive Right,0
127,Pull-Up (3PT),0
128,Drive Right,0
129,Drive Left,0
130,Drive Right,0
131,Pull-Up (3PT),0
132,Catch + Shoot (3PT),1
133,Drive Left,0
134,Drive Right,0
135,Transition,1
136,Transition,1
137,Drive Left,1
138,Drive Left,0
139,Drive Left,0
140,Off-Ball Cut,1
141,Drive Right,0
142,Transition,0
143,Transition,0
144,Drive Left,0
145,Pull-Up (2PT),0
146,Catch + Shoot (3PT),1
147,Transition,0
148,Drive Right,0
149,Drive + Dump,1
150,Catch + Shoot (3PT),0
151,Drive Right,0
152,Catch + Shoot (3PT),0
153,Pull-Up (2PT),0
154,Catch + Shoot (3PT),0
155,Pull-Up (2PT),0
156,Drive Right,1
157,Drive Right,1
158,Pull-Up (2PT),0
159,Drive Left,0
160,Catch + Shoot (2PT),1
161,Drive Right,1
162,Transition,1
163,Pull-Up (2PT),0
164,Drive Left,0
165,Drive Right,0
166,Drive Left,1
167,Drive Left,0
168,Drive Right,0
169,Catch + Shoot (3PT),1
170,Catch + Shoot (3PT),0
171,Catch + Shoot (3PT),0
172,Catch + Shoot (3PT),0
173,Catch + Shoot (3PT),0
174,Post-Up (Left),0
175,Off-Ball Cut,0
176,Pull-Up (2PT),1
177,Post-Up (Left),0
178,Catch + Shoot (3PT),1
179,Catch + Shoot (3PT),0
180,Pull-Up (3PT),0
181,Post-Up (Left),1
182,Offensive Rebound,0
183,Post-Up (Left),0
184,Pull-Up (2PT),0
185,Catch + Shoot (2PT),0
186,Post-Up (Left),0
187,Post-Up (Right),1
188,Post-Up (Right),1
189,Post-Up (Right),1
190,Post-Up (Right),1
191,Post-Up (Right),1
192,PnR Roll Man,1
193,Post-Up (Right),0
194,Post-Up (Right),0
195,Post-Up (Right),0
196,Catch + Shoot (2PT),1
197,Catch + Shoot (2PT),0
198,Pull-Up (2PT),0
199,Post-Up (Left),0
200,Post-Up (Left),1
