,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
0,vs Wash. & Jeff.,L,-14,61.9,0.86,1.05,20-69,4-17,9-17,24-57,9-20,10-13,49,39,43.4,74.3,55.7,17.8,20.3,Marietta
1,at Saint Vincent,W,13,67.9,0.75,0.55,19-64,5-21,8-22,14-48,1-12,9-12,45,40,37.3,76.5,52.900000000000006,23.599999999999998,38.9,Marietta
2,at Penn St.-Behrend,W,8,77.4,0.98,0.86,31-66,4-16,10-15,25-66,7-15,11-17,47,30,42.9,76.2,61.0,29.7,24.0,Marietta
3,vs CWRU,W,13,69.6,0.99,0.78,19-51,4-12,27-33,18-56,9-24,11-13,47,27,42.9,82.1,63.5,31.6,27.900000000000002,Marietta
4,vs Otterbein,W,16,68.9,1.15,0.95,30-69,8-17,11-13,23-53,10-16,7-10,46,26,50.0,81.2,63.9,24.7,27.0,Marietta
5,at Ohio Northern,L,-11,62.9,0.68,0.86,17-61,2-17,7-8,23-59,7-19,1-1,34,45,22.7,68.60000000000001,43.0,17.5,27.1,Marietta
6,vs Ohio Wesleyan,W,7,64.4,1.12,1.0,22-42,10-23,18-23,24-55,6-20,11-15,31,22,28.599999999999998,78.10000000000001,58.5,32.6,20.0,Marietta
7,vs Baldwin Wallace,L,-3,67.2,0.73,0.77,20-57,3-16,6-9,17-58,6-25,12-15,46,35,28.199999999999996,83.3,56.8,29.799999999999997,19.2,Marietta
8,vs John Carroll,W,21,69.0,1.17,0.93,31-68,7-18,12-18,22-66,8-20,8-16,48,40,40.5,67.4,54.50000000000001,18.8,14.000000000000002,Marietta
9,at Colorado College,L,-9,65.7,0.93,1.04,19-59,8-20,15-26,22-47,2-14,24-37,32,48,30.4,52.900000000000006,40.0,18.3,34.1,Marietta
10,at Kean,W,3,66.3,0.83,0.77,20-66,5-25,10-16,20-60,2-19,10-15,41,39,28.599999999999998,76.3,51.2,12.1,19.2,Marietta
11,at Muskingum,W,16,63.9,1.02,0.77,23-67,3-23,16-24,18-54,7-22,6-9,51,35,42.6,79.5,59.3,14.099999999999998,25.3,Marietta
12,at Wilmington (OH),W,3,62.1,1.06,1.01,25-61,5-18,11-13,23-56,9-22,8-9,33,33,19.400000000000002,86.7,50.0,8.0,14.399999999999999,Marietta
13,vs Mount Union,W,19,69.7,0.88,0.61,23-62,5-25,10-15,17-57,2-24,6-8,51,31,36.6,87.8,62.2,27.3,23.3,Marietta
14,at Heidelberg,W,21,65.2,0.92,0.6,22-67,8-29,8-18,15-52,2-15,7-11,47,41,38.0,73.7,53.400000000000006,18.4,32.2,Marietta
15,at Capital,L,-8,71.0,0.66,0.81,15-64,4-22,13-25,15-51,5-17,20-31,49,46,35.8,71.39999999999999,51.6,25.3,26.5,Marietta
16,vs Ohio Northern,W,7,64.4,1.06,0.92,25-62,7-19,11-16,20-59,5-22,16-19,45,37,32.5,76.2,54.900000000000006,17.1,18.0,Marietta
17,at Otterbein,L,-5,69.3,0.87,0.93,22-74,5-21,11-14,22-55,5-15,16-18,38,34,40.0,74.1,52.800000000000004,14.399999999999999,24.3,Marietta
18,at Baldwin Wallace,W,10,63.1,0.94,0.75,21-55,5-11,12-22,14-57,6-22,15-21,51,30,40.5,81.8,63.0,25.4,15.299999999999999,Marietta
19,vs Muskingum,W,23,64.4,1.09,0.72,26-66,6-24,12-16,18-52,5-18,6-7,47,29,38.1,91.2,61.8,15.5,24.5,Marietta
20,at John Carroll,W,9,73.5,1.02,0.86,21-60,8-22,25-33,20-68,8-21,18-22,38,34,41.699999999999996,63.9,52.800000000000004,23.1,19.6,Marietta
21,at Mount Union,W,12,73.1,0.77,0.62,20-72,8-25,8-14,16-51,3-17,9-17,40,37,38.6,69.69999999999999,51.9,20.5,36.4,Marietta
22,vs Wilmington (OH),W,12,64.3,1.0,0.81,27-69,5-21,5-9,19-62,7-26,7-8,49,38,40.9,72.1,56.3,18.7,20.4,Marietta
23,vs Capital,W,25,67.7,0.89,0.49,25-65,5-25,5-8,12-55,2-16,9-10,55,29,41.5,88.4,65.5,28.1,28.000000000000004,Marietta
24,vs Heidelberg,W,27,66.4,1.04,0.65,24-67,6-26,15-23,14-49,4-16,10-16,47,40,39.6,71.8,54.0,16.6,34.2,Marietta
25,vs Baldwin Wallace,W,6,64.5,1.1,1.0,23-57,0-11,25-30,25-59,9-28,6-16,45,30,44.4,74.4,60.0,20.200000000000003,18.4,Marietta
26,at Ohio Northern,L,-15,66.3,0.68,0.89,17-66,3-18,8-16,23-57,2-10,12-16,39,51,22.2,75.0,43.3,12.1,22.3,Marietta
27,vs Eastern Conn. St.,W,4,69.5,0.88,0.82,21-55,1-12,18-19,24-54,2-11,7-10,32,33,23.5,77.4,49.2,24.5,30.2,Marietta
28,at Ithaca,W,2,60.7,0.72,0.69,17-56,3-23,7-12,16-64,3-16,7-9,45,44,32.5,65.3,50.6,24.7,19.900000000000002,Marietta
29,Total,,212,66.3,0.93,0.81,645-1817,147-577,353-527,563-1637,153-542,299-421,1268,1043,36.1,75.7,54.9,21.4,24.5,Marietta
