,Play Type,Outcome
0,Off-Ball Cut,1
1,Off-Ball Cut,1
2,Off-Ball Cut,1
3,Off-Ball Cut,1
4,Off-Ball Cut,0
5,Off-Ball Cut,0
6,Offensive Rebound,1
7,Offensive Rebound,1
8,Transition,0
9,Transition,1
10,Catch + Shoot (3PT),0
11,Catch + Shoot (3PT),0
12,Catch + Shoot (3PT),0
13,Catch + Shoot (3PT),0
14,Catch + Shoot (3PT),0
15,Catch + Shoot (3PT),0
16,Catch + Shoot (3PT),1
17,Catch + Shoot (3PT),1
18,Post-Up Right,0
19,Post-Up Right,1
20,Post-Up Right,1
21,Post-Up Right,1
22,Pull-Up,0
23,Pull-Up,1
24,Pull-Up,0
25,Drive Right,0
26,Drive Right,0
27,Drive Right,0
28,Drive Right,0
29,Drive Right,0
30,Drive Right,1
31,Drive Right,1
32,Drive Right,1
33,Catch + Shoot (2PT),1
34,Catch + Shoot (2PT),0
35,Drive Left,0
36,Drive Left,1
