,Play Type,Outcome
0,Post-Up (Left),0
1,Post-Up (Left),0
2,Post-Up (Left),0
3,Post-Up (Left),0
4,Post-Up (Left),0
5,Post-Up (Left),0
6,Post-Up (Left),1
7,Post-Up (Left),1
8,Post-Up (Left),1
9,Post-Up (Left),1
10,Post-Up (Left),1
11,Offensive Rebound,0
12,Offensive Rebound,1
13,Offensive Rebound,1
14,Offensive Rebound,1
15,Offensive Rebound,1
16,Post-Up (Right),0
17,Post-Up (Right),0
18,Post-Up (Right),0
19,Post-Up (Right),0
20,Post-Up (Right),0
21,Post-Up (Right),0
22,Post-Up (Right),1
23,Post-Up (Right),1
24,Post-Up (Right),1
25,Post-Up (Right),1
26,Post-Up (Right),1
27,Post-Up (Right),1
28,Post-Up (Right),1
29,Post-Up (Right),1
30,Post-Up (Right),1
31,Drive Right,0
32,Drive Right,0
33,Drive Right,0
34,Drive Right,1
35,Drive Right,1
36,Drive Left,1
37,Drive Left,1
38,Drive Left,1
39,Drive Left,1
40,Drive Left,1
41,Drive Left,0
42,Drive Left,0
43,Drive Left,0
44,Drive Left,0
45,Drive + Dump,0
46,Drive + Dump,1
47,Drive + Dump,1
48,Drive + Dump,1
49,Catch + Shoot,0
50,Catch + Shoot,0
51,Catch + Shoot,0
52,Catch + Shoot,1
53,Transition,1
54,Transition,1
55,Transition,1
56,Transition,0
57,Transition,0
