Player,Turnover Type
Thomas Kurowski,Reversal/Pass
Thomas Kurowski,Drive + Pass
Eamonn Kenah,Post Entry
Arrish Bhandal,Off-Ball
Ezra Moos,Reversal/Pass
Ezra Moos,Reversal/Pass
Jackson Piotrowski,Perimeter/Strip
Joe Berry,Reversal/Pass
Joe Berry,Reversal/Pass
Thomas Kurowski,Drive
Thomas Kurowski,Reversal/Pass
Thomas Kurowski,Drive
Bryce Hopkins,Reversal/Pass
Joe Berry,Drive + Pass
Thomas Kurowski,Drive + Pass
Arrish Bhandal,Off-Ball
Eamonn Kenah,Drive
Joe Berry,Drive
Jackson Piotrowski,Drive
Joe Berry,Perimeter/Strip
Arrish Bhandal,Perimeter/Strip
Arrish Bhandal,Perimeter/Strip
Eamonn Kenah,Post Entry
Elliot Paschal,Perimeter/Strip
Thomas Kurowski,Drive
Eamonn Kenah,Off-Ball
Arrish Bhandal,Perimeter/Strip
Arrish Bhandal,Off-Ball
Arrish Bhandal,Reversal/Pass
Bryce Hopkins,Perimeter/Strip
Arrish Bhandal,Perimeter/Strip
Thomas Kurowski,Perimeter/Strip
Thomas Kurowski,Post Entry
Arrish Bhandal,Perimeter/Strip
Arrish Bhandal,Off-Ball
Arrish Bhandal,Perimeter/Strip
Elliot Paschal,Drive + Pass
Elliot Paschal,Off-Ball
Joe Berry,Post Entry
Jackson Piotrowski,Perimeter/Strip
Joe Berry,Reversal/Pass
Joe Berry,Reversal/Pass
Joe Berry,Reversal/Pass
Elliot Paschal,Perimeter/Strip
Eamonn Kenah,Drive + Pass
Eamonn Kenah,Post Entry
Thomas Kurowski,Perimeter/Strip
Jackson Piotrowski,Perimeter/Strip
Thomas Kurowski,Perimeter/Strip
Thomas Kurowski,Perimeter/Strip
Bryce Hopkins,Reversal/Pass
Arrish Bhandal,Off-Ball
Elliot Paschal,Drive
Arrish Bhandal,Reversal/Pass
