,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
0,vs Farmingdale St.,W,27,73.0,1.4,0.99,38-65,19-39,7-7,31-77,7-21,6-12,44,33,33.300000000000004,70.0,57.099999999999994,23.3,15.8,NYU
1,vs Merchant Marine,W,33,67.7,1.39,0.92,33-65,11-39,17-17,19-52,7-23,16-23,37,31,31.2,75.0,54.400000000000006,11.799999999999999,24.099999999999998,NYU
2,at CMSV,W,31,79.6,1.09,0.7,32-77,17-43,6-9,18-56,7-18,13-18,46,44,25.0,81.0,51.1,17.599999999999998,33.900000000000006,NYU
3,vs Moravian,W,42,68.7,1.5,0.89,36-77,17-40,14-15,19-62,10-35,13-16,52,34,46.300000000000004,73.3,60.5,10.2,20.5,NYU
4,at SUNY Maritime,W,22,64.7,1.33,0.98,34-56,8-18,10-19,22-55,7-21,13-19,35,26,40.699999999999996,70.6,57.4,21.6,22.900000000000002,NYU
5,vs Old Westbury,W,14,70.1,1.3,1.1,32-69,15-40,12-16,32-66,6-22,7-14,40,37,38.5,65.8,51.9,17.1,19.900000000000002,NYU
6,vs Yeshiva,W,41,69.7,1.55,0.95,39-66,19-35,11-15,24-62,6-22,13-23,37,33,37.0,62.8,52.900000000000006,14.299999999999999,24.2,NYU
7,at York (NY),W,36,75.7,1.29,0.84,35-79,22-50,6-11,22-60,8-22,10-21,48,38,30.2,81.39999999999999,55.800000000000004,10.6,21.6,NYU
8,vs Hunter,W,46,98.1,1.41,0.95,48-88,15-37,27-30,30-96,11-49,21-29,59,52,45.2,57.99999999999999,53.2,20.4,21.7,NYU
9,vs Hanover,W,18,63.1,1.24,0.97,31-51,6-14,10-13,24-46,5-23,7-12,25,20,20.0,84.0,55.60000000000001,20.599999999999998,27.500000000000004,NYU
10,at Roanoke,W,22,65.7,1.23,0.9,28-56,18-35,7-10,22-60,5-23,10-16,36,36,10.0,78.60000000000001,50.0,16.8,15.299999999999999,NYU
11,at Brandeis,L,-20,60.6,1.01,1.36,24-63,8-27,5-7,30-58,14-28,7-11,33,37,28.199999999999996,71.0,47.099999999999994,13.200000000000001,13.5,NYU
12,at Univ. of Chicago,W,5,61.6,1.12,1.03,23-47,3-10,20-23,21-54,8-24,14-18,31,29,24.0,71.39999999999999,51.7,21.099999999999998,20.9,NYU
13,at WashU,L,-4,66.0,0.97,1.07,23-58,8-25,10-13,28-55,7-20,5-10,24,33,19.400000000000002,69.19999999999999,42.1,16.7,23.5,NYU
14,vs Emory,L,-4,72.4,1.26,1.34,33-74,16-39,9-10,35-66,12-27,13-18,26,49,19.5,52.900000000000006,34.699999999999996,6.9,22.5,NYU
15,vs Rochester (NY),L,-17,65.9,0.84,1.12,17-54,7-20,14-15,29-58,3-11,11-18,28,42,16.2,66.7,40.0,21.3,18.7,NYU
16,vs Carnegie Mellon,W,24,67.9,1.16,0.82,30-65,9-33,10-13,20-58,2-11,13-21,40,36,23.5,76.2,52.6,11.799999999999999,19.3,NYU
17,vs CWRU,L,-6,75.5,1.09,1.16,30-66,10-37,12-15,29-61,8-30,22-32,32,42,17.9,71.39999999999999,43.2,17.2,18.4,NYU
18,UAA Total,,22,66.8,1.07,1.13,180-427,61-191,80-96,192-410,54-151,85-128,214,268,21.1,68.6,44.4,15.4,19.7,NYU
19,Total,,310,69.9,1.24,1.01,566-1176,228-581,207-258,455-1102,133-430,214-331,673,652,28.5,70.6,50.8,16.4,21.6,NYU
0,at SUNY Geneseo,W,17,71.7,1.1,0.85,29-66,7-23,14-22,24-53,6-19,8-9,40,28,41.5,85.2,58.8,22.3,31.5,Rochester
1,vs Texas-Dallas,W,10,68.0,1.16,1.0,28-50,10-22,13-20,24-63,9-25,12-14,34,33,22.2,70.0,50.7,26.5,21.7,Rochester
