,Play Type,Outcome
0,Catch + Shoot 3,0
1,Catch + Shoot 3,0
2,Catch + Shoot 3,0
3,Catch + Shoot 3,0
4,Catch + Shoot 3,0
5,Catch + Shoot 3,0
6,Catch + Shoot 3,0
7,Catch + Shoot 3,0
8,Catch + Shoot 3,0
9,Catch + Shoot 3,0
10,Catch + Shoot 3,0
11,Catch + Shoot 3,0
12,Catch + Shoot 3,0
13,Catch + Shoot 3,0
14,Catch + Shoot 3,0
15,Catch + Shoot 3,1
16,Catch + Shoot 3,1
17,Catch + Shoot 3,1
18,Catch + Shoot 3,1
19,Catch + Shoot 3,1
20,Catch + Shoot 3,1
21,Catch + Shoot 3,1
22,Catch + Shoot 3,1
23,Catch + Shoot 3,1
24,Catch + Shoot 3,1
25,Pull-Up,0
26,Pull-Up,0
27,Pull-Up,0
28,Floater,1
