,Play Type,Outcome
0,Catch + Shoot,0
1,Catch + Shoot,0
2,Catch + Shoot,0
3,Catch + Shoot,0
4,Catch + Shoot,0
5,Catch + Shoot,1
6,Catch + Shoot,1
7,Catch + Shoot,1
8,Catch + Shoot,1
9,Catch + Shoot,1
10,Catch + Shoot,1
11,Catch + Shoot,1
12,Off-Ball Cut,0
13,Off-Ball Cut,1
14,Drive Left,0
15,Drive Left,0
16,Drive Left,0
17,Drive Left,0
18,Drive Left,1
19,Drive Left,1
20,Drive Left,1
21,Offensive Rebound,1
22,Offensive Rebound,0
23,Offensive Rebound,0
24,Offensive Rebound,0
25,Offensive Rebound,0
26,Drive Right,1
27,Drive Right,1
28,Drive Right,1
29,Drive Right,0
30,Drive Right,0
31,Drive Right,0
32,Pull-Up (2PT),0
33,Pull-Up (2PT),0
34,Pull-Up (3PT),0
35,Pull-Up (3PT),0
36,Pull-Up (3PT),0
37,Pull-Up (3PT),0
38,Pull-Up (3PT),0
39,Pull-Up (3PT),0
40,Pull-Up (3PT),0
41,Pull-Up (3PT),0
42,Pull-Up (3PT),1
43,Pull-Up (3PT),1
44,Pull-Up (3PT),1
45,Pull-Up (3PT),1
