,TEAM,Logo
0,Gonzaga Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png
1,Toledo Rockets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png
2,Oral Roberts Golden Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/198.png
3,Alabama Crimson Tide,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png
4,Southern Utah Thunderbirds,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/253.png
5,Youngstown State Penguins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2754.png
6,Arizona Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png
7,Marshall Thundering Herd,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png
8,Furman Paladins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png
9,Cornell Big Red,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/172.png
10,UAB Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png
11,Xavier Musketeers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2752.png
12,New Mexico Lobos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png
13,James Madison Dukes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png
14,UT Martin Skyhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2630.png
15,Charleston Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/232.png
16,Texas A&M-Corpus Christi Islanders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/357.png
17,Iowa Hawkeyes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png
18,Tulane Green Wave,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png
19,Wright State Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2750.png
20,Marquette Golden Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png
21,Indiana State Sycamores,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png
22,Missouri Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png
23,Memphis Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png
24,Bryant Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2803.png
25,Miami Hurricanes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png
26,Ohio Bobcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png
27,Samford Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png
28,UConn Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png
29,UT Rio Grande Valley Vaqueros,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/292.png
30,Florida Atlantic Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png
31,Milwaukee Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/270.png
32,Utah State Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png
33,Tennessee State Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2634.png
34,Colgate Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2142.png
35,UMass Lowell River Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2349.png
36,Pepperdine Waves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2492.png
37,Texas Longhorns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
38,Southeast Missouri State Redhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2546.png
39,Portland Pilots,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2501.png
40,NC State Wolfpack,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png
41,Queens University Royals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2511.png
42,SE Louisiana Lions,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2545.png
43,Fairleigh Dickinson Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/161.png
44,Houston Christian Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2277.png
45,Buffalo Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png
46,Eastern Kentucky Colonels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png
47,Louisiana Ragin' Cajuns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png
48,Providence Friars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png
49,St. John's Red Storm,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png
50,Cincinnati Bearcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png
51,Chattanooga Mocs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/236.png
52,Eastern Washington Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/331.png
53,San Diego Toreros,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/301.png
54,Utah Valley Wolverines,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3084.png
55,Baylor Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png
56,Santa Clara Broncos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png
57,Rice Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png
58,Wake Forest Demon Deacons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png
59,Stetson Hatters,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/56.png
60,Detroit Mercy Titans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2174.png
61,Southern Indiana Screaming Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/88.png
62,Creighton Bluejays,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png
63,Long Beach State Beach,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/299.png
64,Belmont Bruins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2057.png
65,Ball State Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2050.png
66,Lipscomb Bisons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/288.png
67,George Washington Colonials,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/45.png
68,North Florida Ospreys,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2454.png
69,Portland State Vikings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2502.png
70,San Francisco Dons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2539.png
