RK,TEAM,LINK,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Gonzaga Bulldogs,https://www.espn.com/mens-college-basketball/team/_/id/2250/gonzaga-bulldogs,33,87.5,32.6,61.7,52.9,7.8,20.0,38.7,14.5,20.8,70.1,10.2,26.3,36.5,16.6,7.6,3.3,10.6,16.8
2,Toledo Rockets,https://www.espn.com/mens-college-basketball/team/_/id/2649/toledo-rockets,35,85.4,30.2,61.1,49.4,8.6,21.8,39.5,16.4,21.3,77.0,10.1,24.0,34.1,14.9,6.8,2.9,9.6,16.1
3,Oral Roberts Golden Eagles,https://www.espn.com/mens-college-basketball/team/_/id/198/oral-roberts-golden-eagles,35,83.3,30.2,63.7,47.4,10.7,29.3,36.5,12.1,15.7,77.4,8.9,27.9,36.8,14.7,6.8,5.4,9.4,12.9
4,Alabama Crimson Tide,https://www.espn.com/mens-college-basketball/team/_/id/333/alabama-crimson-tide,35,82.6,27.9,62.4,44.7,10.2,29.9,34.2,16.5,22.9,72.4,12.8,31.6,44.5,15.4,6.0,5.1,13.9,18.7
5,Southern Utah Thunderbirds,https://www.espn.com/mens-college-basketball/team/_/id/253/southern-utah-thunderbirds,34,82.5,28.5,61.1,46.6,8.1,23.5,34.7,17.4,23.8,73.0,10.6,27.3,37.9,13.0,7.4,3.3,13.1,18.8
6,Youngstown State Penguins,https://www.espn.com/mens-college-basketball/team/_/id/2754/youngstown-state-penguins,34,81.9,29.9,61.4,48.7,8.0,21.9,36.5,14.1,18.1,77.9,10.3,24.9,35.2,15.3,7.0,2.8,11.0,16.2
7,Arizona Wildcats,https://www.espn.com/mens-college-basketball/team/_/id/12/arizona-wildcats,35,81.9,29.2,59.2,49.4,8.4,22.3,37.8,15.0,21.2,70.8,10.2,29.1,39.3,18.9,6.1,3.1,13.4,16.9
8,Marshall Thundering Herd,https://www.espn.com/mens-college-basketball/team/_/id/276/marshall-thundering-herd,32,81.8,30.8,66.3,46.5,8.3,24.4,33.8,11.9,17.1,69.3,12.3,26.6,38.9,17.5,9.0,5.3,11.6,16.5
9,Furman Paladins,https://www.espn.com/mens-college-basketball/team/_/id/231/furman-paladins,35,81.7,28.6,59.4,48.1,9.5,27.5,34.7,15.0,20.3,74.0,9.9,25.5,35.4,16.9,6.7,3.2,11.1,16.8
10,Cornell Big Red,https://www.espn.com/mens-college-basketball/team/_/id/172/cornell-big-red,28,81.7,29.1,62.1,47.0,10.7,30.4,35.3,12.7,17.5,72.4,10.4,24.0,34.4,17.5,9.7,2.3,12.4,16.6
11,UAB Blazers,https://www.espn.com/mens-college-basketball/team/_/id/5/uab-blazers,35,81.6,28.8,63.1,45.6,7.3,20.3,36.1,16.7,22.8,73.3,13.5,27.2,40.7,14.4,8.2,4.3,12.8,17.2
12,Xavier Musketeers,https://www.espn.com/mens-college-basketball/team/_/id/2752/xavier-musketeers,34,81.4,30.2,61.1,49.4,7.6,19.1,39.5,13.4,18.8,71.4,10.6,27.1,37.6,19.3,6.5,3.2,12.6,15.9
13,New Mexico Lobos,https://www.espn.com/mens-college-basketball/team/_/id/167/new-mexico-lobos,34,80.9,28.9,60.1,48.1,5.6,16.0,35.2,17.4,23.5,73.9,9.8,27.3,37.1,13.7,6.7,3.9,11.2,16.9
14,James Madison Dukes,https://www.espn.com/mens-college-basketball/team/_/id/256/james-madison-dukes,33,80.5,28.3,61.2,46.2,8.0,22.8,35.0,16.0,22.7,70.7,11.9,26.2,38.1,13.5,9.0,2.6,13.2,17.7
