,TEAM
0,Texas A&M-Corpus Christi
1,Alabama
2,Northern Kentucky
3,Houston
4,Howard
5,Kansas
6,Colgate
7,Texas
8,UNC Asheville
9,UCLA
10,Princeton
11,Arizona
12,Oral Roberts
13,Duke
14,Furman
15,Virginia
16,Penn State
17,Texas A&M
18,Charleston
19,San Diego State
20,Louisiana
21,Tennessee
22,Utah State
23,Missouri
24,West Virginia
25,Maryland
26,Illinois
27,Arkansas
28,Auburn
29,Iowa
30,Boise State
31,Northwestern
32,Vermont
33,Marquette
34,Grand Canyon
35,Gonzaga
36,Iona
37,UConn
38,UC Santa Barbara
39,Baylor
40,Kennesaw State
41,Xavier
42,Montana State
43,Kansas State
44,Drake
45,Miami
46,VCU
47,Saint Mary's
48,Kent State
49,Indiana
50,Florida Atlantic
51,Memphis
52,USC
53,Michigan State
54,NC State
55,Creighton
56,Fairleigh Dickinson
57,Purdue
58,Providence
59,Kentucky
60,Arizona State
61,TCU
62,Pittsburgh
63,Iowa State
