,Play Type,Outcome
0,Offensive Rebound,F
1,Offensive Rebound,F
2,Offensive Rebound,F
3,Offensive Rebound,1
4,Offensive Rebound,1
5,Offensive Rebound,1
6,Offensive Rebound,1
7,Catch + Shoot 2,1
8,Catch + Shoot 2,0
9,Off-Ball Cut,0
10,Catch + Shoot 3,0
11,Catch + Shoot 3,0
12,Catch + Shoot 3,0
13,Catch + Shoot 3,0
14,Catch + Shoot 3,0
15,Catch + Shoot 3,0
16,Catch + Shoot 3,1
17,Catch + Shoot 3,1
18,Catch + Shoot 3,1
19,Post-Up,0
20,Post-Up,0
21,Post-Up,0
22,Post-Up,0
23,Post-Up,0
24,Post-Up,0
25,Post-Up,0
26,Post-Up,0
27,Post-Up,1
28,Post-Up,1
29,Post-Up,1
30,Post-Up,1
31,Post-Up,1
32,Drive + Kick,0
33,Transition,0
34,Transition,0
35,Transition,1
36,Transition,F
37,Transition,F
38,Drive Left,0
39,Drive Left,0
40,Drive Left,0
41,Drive Left,0
42,Drive Left,0
43,Drive Left,0
44,Drive Left,0
45,Drive Left,0
46,Drive Left,1
47,Drive Left,1
48,Drive Left,1
49,Drive Left,1
50,Drive Left,1
51,Drive Left,1
52,Drive Left,F
53,Drive Left,F
54,Drive Right,F
55,Drive Right,F
56,Drive Right,F
57,Drive Right,F
58,Drive Right,0
59,Drive Right,0
60,Drive Right,0
61,Drive Right,0
62,Drive Right,0
63,Drive Right,0
64,Drive Right,0
65,Drive Right,0
66,Drive Right,1
67,Drive Right,1
68,Drive Right,1
69,Drive Right,1
