,Play Type,Outcome
0,Post-Up,0
1,Transition,1
2,Post-Up,1
3,Post-Up,0
4,Post-Up,1
5,PnR Drive,0
6,Perimeter/Pass,0
7,Drive + Kick,0
8,Transition,1
9,Post Kick,0
10,Perimeter/Pass,0
11,Perimeter/Pass,0
12,Post Kick,0
13,Post-Up,0
14,Post-Up,0
15,Perimeter/Pass,0
16,Transition,1
17,Post Kick,0
18,Closeout Drive,0
19,Perimeter/Pass,1
20,Drive + Kick,1
21,Closeout Drive,0
22,Drive + Kick,1
23,Transition,1
24,Isolation Drive,0
25,Post Kick,1
26,Transition,1
27,Perimeter/Pass,0
28,Closeout Drive,1
29,Off-Ball Cut,1
30,Drive + Kick,1
31,PnR Drive,0
32,Off-Ball Cut,F
33,Pull-Up,0
34,Drive + Kick,0
35,Flare Screen,1
36,Off-Ball Cut,0
37,Post Kick,1
38,Post-Up,1
39,Transition,1
40,Down Screen,1
41,Pull-Up,0
42,Offensive Rebound,1
43,Post Kick,1
44,Off-Ball Cut,1
45,PnR Drive,0
46,Offensive Rebound,0
47,Off-Ball Cut,F
48,Drive + Kick,0
49,Drive + Kick,1
50,Transition,1
51,Drive + Kick,0
52,Drive + Kick,1
53,Transition,0
54,Post-Up,0
55,Off-Ball Cut,0
56,Offensive Rebound,1
57,Isolation Drive,0
58,Pull-Up,0
59,Off-Ball Cut,1
60,Post Kick,0
61,Dwon Screen,0
62,Offensive Rebound,1
63,Off-Ball Cut,1
64,Off-Ball Cut,F
65,Off-Ball Cut,1
66,Transition,1
