,Play Type,Outcome
0,Pick-and-Pop,0
1,Transition,0
2,Drive + Kick,0
3,Pull-Up,0
4,Pick-and-Pop,1
5,Closeout Drive,0
6,Transition,1
7,Post-Up,0
8,Closeout Drive,1
9,Transition,0
10,Pull-Up,0
11,Perimeter/Pass,0
12,Transition,0
13,Off-Ball Cut,1
14,Transition,0
15,Pull-Up,1
16,Drive + Kick,0
17,Pick-and-Pop,1
18,Off-Ball Cut,1
19,Off-Ball Cut,F
20,Pull-Up,0
21,Pull-Up,1
22,Drive + Kick,1
23,Perimeter/Pass,1
24,Drive + Kick,1
25,Drive + Kick,1
26,PnR Roll Man,0
27,PnR Roll Man,0
28,Off-Ball Cut,1
29,Pull-Up,0
30,Isolation Drive,1
31,Pull-Up,0
32,PnR Roll Man,0
33,Down Screen,0
34,Drive + Kick,1
35,Isolation Drive,F
36,Transition,0
37,Isolation Drive,0
38,Perimeter/Pass,0
39,Drive + Kick,0
40,Pull-Up,0
41,Isolation Drive,1
42,Pull-Up,1
43,Drive + Kick,1
44,Drive + Kick,1
45,PnR Drive,1
46,Isolation Drive,1
47,Isolation Drive,F
48,Closeout Drive,0
49,Off-Ball Cut,1
50,Transition,1
51,Off-Ball Cut,1
52,Closeout Drive,1
53,Drive + Kick,0
54,Perimeter/Pass,1
55,Perimeter/Pass,F
56,Offensive Rebound Kick,0
57,Transition,0
58,Pull-Up,1
59,Pull-Up,1
60,Perimeter/Pass,0
61,Pull-Up,0
62,Transition,1
