,Play Type,Outcome
0,Off-Ball Cut,1
1,Off-Ball Cut,1
2,Off-Ball Cut,0
3,Catch + Shoot,1
4,Catch + Shoot,1
5,Catch + Shoot,1
6,Catch + Shoot,1
7,Catch + Shoot,1
8,Catch + Shoot,1
9,Catch + Shoot,0
10,Catch + Shoot,0
11,Catch + Shoot,0
12,Catch + Shoot,0
13,Catch + Shoot,0
14,Pull-Up (2PT),0
15,Pull-Up (2PT),0
16,Pull-Up (2PT),0
17,Pull-Up (2PT),0
18,Pull-Up (2PT),0
19,Pull-Up (2PT),0
20,Pull-Up (2PT),0
21,Pull-Up (2PT),0
22,Pull-Up (2PT),0
23,Pull-Up (2PT),1
24,Pull-Up (2PT),1
25,Pull-Up (2PT),1
26,Pull-Up (2PT),1
27,Pull-Up (2PT),1
28,Pull-Up (2PT),1
29,Offensive Rebound,0
30,Offensive Rebound,1
31,Offensive Rebound,1
32,Offensive Rebound,1
33,Offensive Rebound,1
34,Offensive Rebound,1
35,Offensive Rebound,1
36,Offensive Rebound,1
37,Drive Left,0
38,Drive Left,0
39,Drive Left,0
40,Drive Left,0
41,Drive Left,0
42,Drive Left,0
43,Drive Left,0
44,Drive Left,1
45,Drive Left,1
46,Pull-Up (3PT),0
47,Pull-Up (3PT),0
48,Pull-Up (3PT),0
49,Pull-Up (3PT),0
50,Pull-Up (3PT),0
51,Pull-Up (3PT),1
52,Drive Right,1
53,Drive Right,1
54,Drive Right,0
55,Drive Right,0
56,Transition,0
57,Transition,0
58,Transition,0
59,Transition,1
