,Play Type,Outcome
0,Drive Left,0
1,Drive Left,0
2,Drive Left,0
3,Drive Left,0
4,Drive Left,0
5,Drive Left,0
6,Drive Left,1
7,Drive Left,1
8,Drive Left,1
9,Drive Right,1
10,Drive Right,1
11,Drive Right,1
12,Drive Right,1
13,Drive Right,1
14,Drive Right,1
15,Drive Right,1
16,Drive Right,1
17,Drive Right,0
18,Drive Right,0
19,Drive Right,0
20,Catch + Shoot,0
21,Catch + Shoot,0
22,Catch + Shoot,0
23,Catch + Shoot,0
24,Offensive Rebound,1
25,Offensive Rebound,1
26,Off-Ball Cut,1
27,Off-Ball Cut,1
28,Off-Ball Cut,0
