Game,Date,FTA%,OPP FTA%,URL
North Central (Ill.),11/12/22,13.3,12.5,https://cdn.prestosports.com/action/cdn/logos/id/8xjx5mn0s3f107zk.png
Benedictine (Ill.),11/13/22,56.6,44.6,https://cdn.prestosports.com/action/cdn/logos/id/j3frfy15hn677ihz.png
North Park,11/18/22,30.3,24.6,https://cdn.prestosports.com/action/cdn/logos/id/1bosk7nt57kpz8sa.png
Colorado College,11/19/22,46.4,36.8,https://cdn.prestosports.com/action/cdn/logos/id/d5171879j3gk8qve.png
Carroll (Wis.),11/22/22,31.4,22.4,https://cdn.prestosports.com/action/cdn/logos/id/ocbffyto7nu5brs5.png
Carthage,11/27/22,41.5,46.9,https://cdn.prestosports.com/action/cdn/logos/id/l4kqn7nsaqpuw38a.png
Eureka,11/30/22,47.3,38.2,https://cdn.prestosports.com/action/cdn/logos/id/44it1yvyadf513i1.png
Wheaton (Ill.),12/3/22,17.5,7.4,https://cdn.prestosports.com/action/cdn/logos/id/0tzf9s3dgqjpm9a1.png
UW-Whitewater,12/14/22,39.2,16.1,https://cdn.prestosports.com/action/cdn/logos/id/qqwfsa6s4y1ceex2.png
Wis. Lutheran,12/18/22,23.1,30.9,https://cdn.prestosports.com/action/cdn/logos/id/szgn3ubx2i8co04j.png
Knox,12/30/22,27.6,4.8,https://cdn.prestosports.com/action/cdn/logos/id/aunr98yg9j0ndyer.png
Washington-St. Louis,1/7/23,20,35,https://cdn.prestosports.com/action/cdn/logos/id/xfen2lc9zo6zs955.png
New York U.,1/13/23,45,20.3,https://cdn.prestosports.com/action/cdn/logos/id/bekgzjtjh3jrkk38.png
Brandeis,1/15/23,31.2,44.4,https://cdn.prestosports.com/action/cdn/logos/id/ol5r9wqa6auk0d7y.png
Carnegie Mellon,1/20/23,20,64.6,https://cdn.prestosports.com/action/cdn/logos/id/0v57evqdhbhw21mp.png
Case Western Reserve,1/22/23,39.1,33.3,https://cdn.prestosports.com/action/cdn/logos/id/d2ypjqx8v4m3pirz.png
Emory,1/27/23,38.9,42.1,https://cdn.prestosports.com/action/cdn/logos/id/d7prvy8nbo5r5lqh.png
Rochester (N.Y.),1/29/23,18.1,20.3,https://cdn.prestosports.com/action/cdn/logos/id/voyqjod4xf8qi389.png
Emory,2/3/23,28.4,42.6,https://cdn.prestosports.com/action/cdn/logos/id/d7prvy8nbo5r5lqh.png
Rochester (N.Y.),2/5/23,30.8,39.3,https://cdn.prestosports.com/action/cdn/logos/id/voyqjod4xf8qi389.png
New York U.,2/10/23,12.9,13.8,https://cdn.prestosports.com/action/cdn/logos/id/bekgzjtjh3jrkk38.png
Brandeis,2/12/23,47.5,19,https://cdn.prestosports.com/action/cdn/logos/id/ol5r9wqa6auk0d7y.png
Carnegie Mellon,2/17/23,41.2,22.2,https://cdn.prestosports.com/action/cdn/logos/id/0v57evqdhbhw21mp.png
Case Western Reserve,2/19/23,27.7,39,https://cdn.prestosports.com/action/cdn/logos/id/d2ypjqx8v4m3pirz.png
Washington-St. Louis,2/25/23,36.4,21,https://cdn.prestosports.com/action/cdn/logos/id/xfen2lc9zo6zs955.png
Northwestern (Minn.),3/3/23,21.1,23.1,https://cdn.prestosports.com/action/cdn/logos/id/z035dhc4ndfo9cmf.png
Whitman,3/4/23,63.0,13.4,https://cdn.prestosports.com/action/cdn/logos/id/bl7qomaiwuif9dif.png
