,Play Type,Outcome
0,Pull-Up (3PT),1
1,Drive Right,0
2,Drive Right,0
3,Drive Right,1
4,Drive Right,1
5,Drive Left,0
6,Drive Left,0
7,Drive Left,0
8,Drive Left,1
9,Catch + Shoot (3PT),0
10,Catch + Shoot (3PT),0
11,Catch + Shoot (3PT),0
12,Catch + Shoot (3PT),1
13,Catch + Shoot (2PT),0
14,Catch + Shoot (2PT),0
15,Catch + Shoot (2PT),0
16,Catch + Shoot (2PT),0
17,Catch + Shoot (2PT),0
18,Catch + Shoot (2PT),0
19,Catch + Shoot (2PT),0
20,Catch + Shoot (2PT),1
21,Catch + Shoot (2PT),1
22,Transition,1
23,Transition,1
24,Pull-Up (2PT),0
25,Pull-Up (2PT),0
26,Pull-Up (2PT),0
27,Pull-Up (2PT),0
28,Pull-Up (2PT),0
29,Pull-Up (2PT),0
30,Pull-Up (2PT),1
31,Pull-Up (2PT),1
32,Pull-Up (2PT),1
33,Off-Ball Cut,0
34,Off-Ball Cut,1
35,Offensive Rebound,1
36,Offensive Rebound,1
37,Offensive Rebound,0
