Opponent,POSS,PPP,OPP PPP,FTA%,OPP FTA%,ORB%,DRB%,REB%,TO%,OPP TO%
vs TCNJ,63.4,1.23,1.07,29.099999999999998,56.10000000000001,43.5,80.0,60.5,22.1,29.9
at Smith,68.4,0.6,1.17,20.7,46.2,16.7,64.0,36.1,20.5,21.6
vs Babson,64.2,0.53,0.95,27.3,21.2,37.3,72.1,52.0,23.3,12.2
vs Endicott,66.7,0.99,0.7,13.3,31.3,22.9,67.30000000000001,50.0,21.0,17.8
at Bridgewater State,75.6,1.12,1.07,27.400000000000002,43.9,43.8,70.5,56.49999999999999,23.8,13.7
vs Wesleyan (CT),68.3,1.05,0.65,20.9,25.4,41.5,69.6,56.3,22.0,25.8
at Castleton,66.2,1.01,0.83,13.8,13.600000000000001,44.7,92.1,68.4,25.7,16.2
vs Southern Me.,66.8,0.94,0.56,46.2,31.6,37.1,75.0,59.0,30.0,24.2
at Keene St.,62.9,0.89,0.65,14.000000000000002,40.0,30.6,87.2,60.0,25.4,21.5
at UMass Boston,65.5,0.99,0.8,20.0,39.2,32.4,80.60000000000001,56.2,22.9,27.6
at Russell Sage College,67.2,0.94,0.75,23.9,35.0,43.5,63.8,53.8,23.8,24.4
vs Bates,66.4,0.92,0.73,52.6,40.699999999999996,38.6,76.7,57.49999999999999,24.1,21.0
vs Eastern Conn. St.,69.0,0.74,0.53,19.0,13.8,25.6,75.6,52.400000000000006,27.500000000000004,31.6
at Emerson,74.3,0.9,0.5,13.200000000000001,27.700000000000003,43.9,96.8,66.7,20.200000000000003,35.7
vs WestConn,64.2,0.98,0.58,18.0,25.0,36.1,79.5,60.0,21.8,22.9
vs Plymouth St.,74.3,1.17,0.62,38.2,13.100000000000001,40.0,85.7,63.4,18.8,27.500000000000004
at UMass Dartmouth,73.0,1.05,0.87,24.6,21.099999999999998,51.4,85.7,68.60000000000001,30.1,22.7
vs Castleton,61.3,1.03,0.8,17.7,9.8,37.5,85.7,62.2,19.6,15.4
at Southern Me.,61.3,1.22,0.58,15.299999999999999,15.8,47.6,84.8,67.0,11.4,14.9
vs Keene St.,65.8,1.09,0.45,42.1,17.5,44.7,82.0,65.9,27.3,25.5
at WestConn,67.4,1.04,0.7,36.199999999999996,14.499999999999998,38.7,65.7,53.0,22.2,34.5
at Eastern Conn. St.,60.6,0.92,1.08,24.099999999999998,20.0,37.5,68.2,48.4,23.1,26.3
vs UMass Boston,67.4,1.11,0.45,34.4,18.2,50.0,79.5,66.2,26.700000000000003,28.5
vs UMass Dartmouth,73.7,1.03,0.77,17.599999999999998,17.2,41.3,80.0,60.4,21.7,22.0
at Plymouth St.,65.4,1.13,0.75,23.0,22.400000000000002,47.1,69.0,59.2,26.0,26.1
vs UMass Dartmouth,69.4,0.95,0.87,44.4,27.3,40.8,80.0,57.1,24.5,24.7
at Eastern Conn. St.,62.7,0.97,0.8,57.099999999999994,18.5,27.3,80.60000000000001,53.1,20.7,23.200000000000003
vs Rowan,73.1,0.92,0.83,33.800000000000004,37.7,35.4,88.9,58.3,20.5,22.6
at Scranton,61.2,1.01,0.86,39.2,31.7,30.0,78.7,59.7,21.2,7.8
Total,66.5,0.99,0.76,27.200000000000003,26.3,38.4,77.9,58.3,23.3,23.2
