,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
0,vs TCNJ,W,10,63.4,1.23,1.07,33-55,2-7,10-16,22-41,10-16,14-23,26,17,43.5,80.0,60.5,22.1,29.9,Rhode Island
1,at Smith,L,-35,68.4,0.6,1.17,15-58,6-28,5-12,25-52,6-19,20-24,22,39,16.7,64.0,36.1,20.5,21.6,Rhode Island
2,vs Babson,L,-28,64.2,0.53,0.95,11-66,2-25,10-18,24-66,3-15,11-14,53,49,37.3,72.1,52.0,23.3,12.2,Rhode Island
3,vs Endicott,W,19,66.7,0.99,0.7,27-60,8-23,4-8,18-67,0-9,11-21,45,45,22.900000000000002,67.30000000000001,50.0,21.0,17.8,Rhode Island
4,at Bridgewater State,W,7,75.6,1.12,1.07,33-73,9-24,10-20,24-66,6-19,24-29,52,40,43.8,70.5,56.49999999999999,23.799999999999997,13.700000000000001,Rhode Island
5,vs Wesleyan (CT),W,29,68.3,1.05,0.65,29-67,5-21,9-14,16-59,1-13,10-15,49,38,41.5,69.6,56.3,22.0,25.8,Rhode Island
6,at Castleton,W,11,66.2,1.01,0.83,28-65,4-18,7-9,22-59,6-16,6-8,52,24,44.7,92.10000000000001,68.4,25.7,16.2,Rhode Island
7,vs Southern Me.,W,26,66.8,0.94,0.56,22-52,5-15,14-24,12-57,4-13,9-18,49,34,37.1,75.0,59.0,30.0,24.2,Rhode Island
8,at Keene St.,W,14,62.9,0.89,0.65,21-57,8-22,6-8,13-50,4-22,12-20,45,30,30.599999999999998,87.2,60.0,25.4,21.5,Rhode Island
9,at UMass Boston,W,10,65.5,0.99,0.8,24-60,6-18,11-12,19-51,5-9,12-20,41,32,32.4,80.60000000000001,56.2,22.900000000000002,27.6,Rhode Island
10,at Russell Sage College,W,14,67.2,0.94,0.75,23-67,6-26,11-16,16-60,2-11,15-21,50,43,43.5,63.800000000000004,53.800000000000004,23.799999999999997,24.4,Rhode Island
11,vs Bates,W,9,66.4,0.92,0.73,21-57,3-9,16-30,16-59,2-13,18-24,50,37,38.6,76.7,57.49999999999999,24.099999999999998,21.0,Rhode Island
12,vs Eastern Conn. St.,W,14,69.0,0.74,0.53,21-58,1-11,8-11,14-58,2-10,7-8,44,40,25.6,75.6,52.400000000000006,27.500000000000004,31.6,Rhode Island
13,at Emerson,W,29,74.3,0.9,0.5,28-76,4-18,7-10,14-47,2-10,8-13,48,24,43.9,96.8,66.7,20.200000000000003,35.699999999999996,Rhode Island
14,vs WestConn,W,25,64.2,0.98,0.58,27-61,2-11,7-11,14-56,0-5,10-14,48,32,36.1,79.5,60.0,21.8,22.900000000000002,Rhode Island
15,vs Plymouth St.,W,40,74.3,1.17,0.62,32-68,5-19,18-26,19-61,3-17,6-8,52,30,40.0,85.7,63.4,18.8,27.500000000000004,Rhode Island
16,at UMass Dartmouth,W,16,73.0,1.05,0.87,31-65,6-16,9-16,24-57,6-19,7-12,48,22,51.4,85.7,68.60000000000001,30.099999999999998,22.7,Rhode Island
17,vs Castleton,W,11,61.3,1.03,0.8,24-62,7-16,8-11,21-61,6-15,4-6,51,31,37.5,85.7,62.2,19.6,15.4,Rhode Island
18,at Southern Me.,W,40,61.3,1.22,0.58,32-72,2-17,9-11,14-57,2-10,5-9,59,29,47.599999999999994,84.8,67.0,11.4,14.899999999999999,Rhode Island
19,vs Keene St.,W,42,65.8,1.09,0.45,25-57,6-23,16-24,11-57,3-14,5-10,58,30,44.7,82.0,65.9,27.3,25.5,Rhode Island
20,at WestConn,W,23,67.4,1.04,0.7,26-58,2-10,16-21,20-55,0-3,7-8,35,31,38.7,65.7,53.0,22.2,34.5,Rhode Island
21,at Eastern Conn. St.,L,-10,60.6,0.92,1.08,20-58,4-13,12-14,27-50,4-10,8-10,30,32,37.5,68.2,48.4,23.1,26.3,Rhode Island
22,vs UMass Boston,W,45,67.4,1.11,0.45,29-61,3-11,14-21,11-55,0-9,8-10,53,27,50.0,79.5,66.2,26.700000000000003,28.499999999999996,Rhode Island
23,vs UMass Dartmouth,W,20,73.7,1.03,0.77,30-74,8-23,8-13,20-64,8-31,8-11,55,36,41.3,80.0,60.4,21.7,22.0,Rhode Island
24,at Plymouth St.,W,25,65.4,1.13,0.75,31-61,4-15,8-14,17-58,7-24,8-13,45,31,47.099999999999994,69.0,59.199999999999996,26.0,26.1,Rhode Island
25,vs UMass Dartmouth,W,6,69.4,0.95,0.87,19-63,8-22,20-28,22-55,5-19,11-15,48,36,40.8,80.0,57.099999999999994,24.5,24.7,Rhode Island
26,at Eastern Conn. St.,W,9,62.7,0.97,0.8,18-49,5-11,20-28,20-54,2-12,10-10,34,30,27.3,80.60000000000001,53.1,20.7,23.200000000000003,Rhode Island
27,vs Rowan,W,8,73.1,0.92,0.83,25-68,5-16,12-23,20-53,6-18,13-20,49,35,35.4,88.9,58.3,20.5,22.6,Rhode Island
28,at Scranton,W,7,61.2,1.01,0.86,23-51,3-9,13-20,17-63,3-18,18-20,46,31,30.0,78.7,59.699999999999996,21.2,7.8,Rhode Island
29,Total,,436,66.5,0.99,0.76,728-1799,139-497,318-489,532-1648,108-419,305-434,1337,955,38.4,77.9,58.3,23.3,23.2,Rhode Island
