,Play Type,Outcome
0,Pick-and-Pop,0
1,Pick-and-Pop,0
2,PnR Roll Man,1
3,PnR Roll Man,1
4,PnR Drive,0
5,PnR Drive,0
6,PnR Drive,0
7,PnR Drive,1
8,PnR Drive,1
9,Post Kick,1
10,Post Kick,1
11,Pull-Up,1
12,Off-Ball Cut,0
13,Drive + Kick,F
14,Drive + Kick,0
15,Drive + Kick,0
16,Drive + Kick,1
17,Drive + Kick,1
18,Drive + Kick,1
19,Drive + Kick,1
20,Drive + Kick,1
21,Drive + Kick,1
22,Offensive Rebound,0
23,Offensive Rebound,0
24,Offensive Rebound,1
25,Offensive Rebound,1
26,Offensive Rebound,1
27,Transition,1
28,Transition,1
29,Transition,1
30,Transition,1
31,Transition,0
32,Transition,0
33,Transition,0
34,Transition,0
35,Post-Up,1
36,Post-Up,1
37,Post-Up,1
38,Post-Up,1
39,Post-Up,1
40,Post-Up,1
41,Post-Up,0
42,Post-Up,0
43,Perimeter/Pass,0
44,Perimeter/Pass,0
45,Perimeter/Pass,0
46,Perimeter/Pass,0
47,Perimeter/Pass,0
48,Perimeter/Pass,0
49,Perimeter/Pass,0
50,Perimeter/Pass,1
51,Perimeter/Pass,1
52,Isolation/Drive,F
53,Isolation/Drive,0
54,Isolation/Drive,0
55,Isolation/Drive,0
56,Isolation/Drive,0
57,Isolation/Drive,0
58,Isolation/Drive,0
59,Isolation/Drive,1
60,Isolation/Drive,1
61,Isolation/Drive,1
62,Isolation/Drive,1
63,Isolation/Drive,1
64,Isolation/Drive,1
65,Isolation/Drive,1
66,Isolation/Drive,1
67,Isolation/Drive,1
