,Play Type,Outcome
0,Transition,0
1,Transition,0
2,Transition,0
3,Transition,0
4,Transition,0
5,Transition,0
6,Transition,0
7,Transition,0
8,Transition,1
9,Transition,1
10,Transition,1
11,Transition,1
12,Off-Ball Cut,0
13,Off-Ball Cut,1
14,Off-Ball Cut,1
15,Offensive Rebound,0
16,Offensive Rebound,F
17,Offensive Rebound,1
18,Offensive Rebound,1
19,Offensive Rebound,1
20,Post-Up,0
21,Post-Up,0
22,Post-Up,1
23,Post-Up,1
24,Post-Up,1
25,Post Kick,0
26,Post Kick,0
27,Isolation,0
28,Isolation,0
29,Isolation,1
30,Isolation,1
31,Isolation,1
32,Isolation,1
33,Drive + Kick,0
34,Drive + Kick,0
35,Drive + Kick,0
36,Drive + Kick,1
37,Drive + Kick,1
38,Drive + Kick,1
39,Drive,0
40,Drive,0
41,Drive,0
42,Drive,0
43,Drive,1
44,Drive,1
45,Drive,1
46,PnR Roll Man,F
47,PnR Roll Man,0
48,PnR Roll Man,0
49,PnR Roll Man,1
50,PnR Roll Man,1
51,Perimeter/Pass,0
52,Perimeter/Pass,0
53,Perimeter/Pass,0
54,Perimeter/Pass,0
55,Perimeter/Pass,0
56,Perimeter/Pass,0
57,Perimeter/Pass,1
58,Perimeter/Pass,1
59,Perimeter/Pass,1
60,Pull-Up,1
61,Pull-Up,1
62,Pull-Up,0
63,Pull-Up,0
64,Pull-Up,0
