,Play Type,Outcome
0,DHO,0
1,Miscellaneous/Other,1
2,Isolation Drive,0
3,Backdoor Cut,1
4,Transition Layup,1
5,Miscellaneous/Other,1
6,Miscellaneous/Other,1
7,DHO,0
8,Transition Layup,0
9,Drive-and-Kick,1
10,Post-Up,0
11,Miscellaneous/Other,0
12,Pick-and-Roll Drive,1
13,Transition Layup,1
14,Drive-and-Kick,0
15,Post-Up,0
16,Miscellaneous/Other,0
17,Pick-and-Roll Drive,0
18,Offensive Rebound,1
19,Drive-and-Kick,0
20,Transition Layup,1
21,Pick-and-Roll Drive,0
22,Pick-and-Roll Drive,0
23,Transition Layup,1
24,Post-Up,0
25,Drive-and-Kick,1
26,Isolation Drive,1
27,Post-Up,0
28,Offensive Rebound,1
29,Isolation Drive,0
30,Offensive Rebound,1
31,DHO,0
32,Isolation Drive,1
33,Drive-and-Kick,0
34,Offensive Rebound,1
35,Miscellaneous/Other,1
36,Transition Layup,1
37,Miscellaneous/Other,1
38,Transition Layup,0
39,Offensive Rebound,1
40,Miscellaneous/Other,0
41,Miscellaneous/Other,0
42,Backdoor Cut,1
43,Transition Layup,1
44,Miscellaneous/Other,1
45,Drive-and-Kick,0
46,DHO,1
47,Backdoor Cut,1
48,Transition Layup,1
49,Transition Layup,1
50,Miscellaneous/Other,0
51,Drive-and-Kick,0
52,Isolation Drive,0
53,Miscellaneous/Other,0
54,Backdoor Cut,1
55,Drive-and-Kick,0
56,Isolation Drive,0
57,Backdoor Cut,1
58,Transition Layup,1
59,Transition Layup,1
60,Pick-and-Roll Drive,1
61,Miscellaneous/Other,1
62,Transition Layup,1
63,Transition Layup,1
64,Miscellaneous/Other,0
65,Pick-and-Roll Drive,0
66,Miscellaneous/Other,0
67,Transition Layup,1
68,Post-Up,1
69,Miscellaneous/Other,0
70,Drive-and-Kick,0
71,Backdoor Cut,1
72,Drive-and-Kick,1
73,Post-Up,1
74,Isolation Drive,0
75,Post-Up,0
76,Miscellaneous/Other,1
77,Miscellaneous/Other,0
78,Miscellaneous/Other,1
79,Miscellaneous/Other,0
80,Miscellaneous/Other,1
81,Isolation Drive,0
82,Offensive Rebound,1
83,Drive-and-Kick,1
84,Backdoor Cut,1
85,Miscellaneous/Other,1
86,Isolation Drive,1
87,Pick-and-Roll Drive,1
88,Miscellaneous/Other,1
89,Miscellaneous/Other,0
90,Pick-and-Roll Drive,0
91,Drive-and-Kick,0
92,Offensive Rebound,1
93,Post-Up,0
94,DHO,1
95,Transition Layup,1
96,Miscellaneous/Other,0
97,Miscellaneous/Other,1
98,Drive-and-Kick,0
99,Backdoor Cut,1
100,Drive-and-Kick,1
