,Play Type,Outcome
0,Pull-Up 2,0
1,Drive Right,0
2,Drive Right,0
3,Drive Right,0
4,Drive Right,0
5,Drive Right,0
6,Drive Right,0
7,Drive Right,1
8,Drive Right,1
9,Drive Right,1
10,Drive Right,1
11,Drive Right,1
12,Drive Right,1
13,Drive Right,1
14,Drive Right,1
15,Drive Right,1
16,Drive Right,F
17,Drive Right,F
18,Drive Right,F
19,Drive Right,F
20,Drive Right,F
21,Drive Right,F
22,Drive Left,0
23,Drive Left,0
24,Drive Left,0
25,Drive Left,0
26,Drive Left,0
27,Drive Left,1
28,Drive Left,1
29,Drive Left,1
30,Drive Left,F
31,Drive Left,F
32,Drive Left,0
33,Drive Left,0
34,Drive Left,0
35,Drive Left,0
36,Drive Left,0
37,Drive Left,0
38,Drive Left,1
39,Drive Left,1
40,Drive Left,1
41,Drive Left,1
42,Drive Left,1
43,Drive Left,1
44,Drive Left,1
45,Post-Up,1
46,Post-Up,1
47,Post-Up,1
48,Post-Up,0
49,Post-Up,0
50,Post-Up,0
51,Post-Up,0
52,Post-Up,0
53,Post-Up,0
54,Post-Up,F
55,Post-Up,F
56,Off-Ball Cut,0
57,Off-Ball Cut,0
58,Off-Ball Cut,1
59,Off-Ball Cut,1
60,Off-Ball Cut,1
61,Off-Ball Cut,1
62,Off-Ball Cut,1
63,Off-Ball Cut,1
64,Off-Ball Cut,1
65,Off-Ball Cut,F
66,Off-Ball Cut,F
67,Catch + Shoot,0
68,Catch + Shoot,0
69,Catch + Shoot,0
70,Catch + Shoot,0
71,Catch + Shoot,0
72,Catch + Shoot,0
73,Catch + Shoot,1
74,Catch + Shoot,1
