Opponent,W/L,Margin,POSS,OPP POSS,PPP,OPP PPP,REB,OPP REB,ORB%,DRB%,RB%,TO%
Dominican (IL),W,31,73.9,76.3,1.03,0.59,54,46,36.0,72.0,54.0,17.599999999999998
Blackburn,W,45,73.8,71.5,1.18,0.59,59,42,46.7,75.6,58.4,8.1
Coe,L,-2,61.4,60.7,0.94,0.99,34,27,36.0,69.39999999999999,55.7,21.2
Central (IA),W,16,82.6,82.9,1.08,0.88,53,34,41.3,82.89999999999999,60.9,23.0
Grinnell,W,9,71.8,71.5,1.04,0.92,44,42,35.6,68.30000000000001,51.2,19.5
Principia,L,-11,70.8,74.0,0.89,1.0,43,48,28.9,65.2,47.3,19.8
Lawrence,W,7,72.9,75.4,0.89,0.77,51,38,42.9,70.19999999999999,57.3,31.6
Ripon,W,13,67.6,66.6,0.99,0.81,30,30,28.000000000000004,65.7,50.0,32.5
Westminster (MO),L,-2,84.3,92.4,0.97,0.91,50,34,51.2,68.30000000000001,59.5,29.7
Eureka,W,8,78.7,77.5,0.94,0.85,43,36,38.6,74.3,54.400000000000006,24.099999999999998
Total,,114,73.8,74.9,1.0,0.83,461,377,39.300000000000004,71.2,55.00000000000001,22.8
