,Team,Field Goal,Field Goal %,3 Point,3 Point %,Free Throw,Free Throw %,Rebounds,Assists,Turnovers,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Largest Lead,Time of Largest Lead,OREB,DREB,STL,BLK,PF,PTS,Opponent,Date,AST,REB,TOV,PTS OFF TOV,2ND CHANCE,PAINT,FASTBREAK,BENCH,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,Chicago
0,Chicago,24-53,45.3%,11-32,34.4%,19-27,70.4%,36,17,17,14,9,24.0,4.0,19,25.0,1st-05:29,7,29,5,2,25,78,Colorado College,"November 6, 2021",17,36,17,14,9,24.0,4.0,19,24,53,11,32,19,27,45.283018867924525,34.375,70.37037037037037,True
1,Colorado College,25-57,43.9%,6-22,27.3%,18-26,69.2%,32,10,12,16,1,32.0,14.0,36,5.0,1st-18:48,5,27,9,2,30,74,Colorado College,"November 6, 2021",10,32,12,16,1,32.0,14.0,36,25,57,6,22,18,26,43.85964912280702,27.272727272727273,69.23076923076923,False
2,Chicago,27-57,47.4%,9-30,30.0%,14-19,73.7%,24,15,6,19,6,28.0,1.0,18,,,7,17,5,2,17,77,Lake Forest,"November 13, 2021",15,24,6,19,6,28.0,1.0,18,27,57,9,30,14,19,47.36842105263158,30.0,73.6842105263158,True
3,Lake Forest,24-51,47.1%,3-13,23.1%,17-18,94.4%,36,11,15,6,10,38.0,9.0,10,,,10,26,2,0,20,68,Lake Forest,"November 13, 2021",11,36,15,6,10,38.0,9.0,10,24,51,3,13,17,18,47.05882352941177,23.076923076923077,94.44444444444444,False
4,Willamette,21-66,31.8%,7-19,36.8%,19-25,76.0%,39,6,24,19,10,,,31,2.0,1st-19:56,16,23,12,5,22,68,Willamette,"November 20, 2021",6,39,24,19,10,,,31,21,66,7,19,19,25,31.818181818181817,36.8421052631579,76.0,False
5,Chicago,37-67,55.2%,6-19,31.6%,17-25,68.0%,45,17,20,23,12,,,39,32.0,2nd-03:43,11,34,9,10,21,97,Willamette,"November 20, 2021",17,45,20,23,12,,,39,37,67,6,19,17,25,55.223880597014926,31.57894736842105,68.0,True
6,Pomona-Pitzer,25-67,37.3%,6-21,28.6%,8-15,53.3%,49,11,9,10,7,28.0,2.0,11,11.0,1st-09:13,17,32,7,0,16,64,Pomona-Pitzer,"November 21, 2021",11,49,9,10,7,28.0,2.0,11,25,67,6,21,8,15,37.3134328358209,28.571428571428573,53.333333333333336,False
7,Chicago,21-58,36.2%,12-38,31.6%,9-13,69.2%,37,13,10,14,4,12.0,2.0,18,4.0,2nd-01:48,9,28,6,6,14,63,Pomona-Pitzer,"November 21, 2021",13,37,10,14,4,12.0,2.0,18,21,58,12,38,9,13,36.206896551724135,31.57894736842105,69.23076923076923,True
8,#6 Wheaton,26-50,52.0%,7-22,31.8%,18-22,81.8%,37,11,14,13,10,32.0,6.0,8,15.0,2nd-13:40,6,31,5,5,13,77,#6 Wheaton,"November 23, 2021",11,37,14,13,10,32.0,6.0,8,26,50,7,22,18,22,52.0,31.818181818181817,81.81818181818181,False
9,Chicago,27-63,42.9%,5-22,22.7%,8-15,53.3%,31,6,10,12,5,30.0,2.0,12,2.0,1st-19:38,10,21,5,4,18,67,#6 Wheaton,"November 23, 2021",6,31,10,12,5,30.0,2.0,12,27,63,5,22,8,15,42.857142857142854,22.727272727272727,53.333333333333336,True
