,Team,Field Goal,Field Goal %,3 Point,3 Point %,Free Throw,Free Throw %,Rebounds,Assists,Turnovers,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Largest Lead,Time of Largest Lead,OREB,DREB,STL,BLK,PF,PTS,Opponent,Date,AST,REB,TOV,PTS OFF TOV,2ND CHANCE,PAINT,FASTBREAK,BENCH,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,Chicago
0,Lake Forest,25-64,39.1%,9-26,34.6%,8-15,53.3%,29,15,6,14,12,18,2,18,5.0,1st-18:50,10,19,3,1,18,67,Lake Forest,"November 10, 2022",15,29,6,14,12,18,2,18,25,64,9,26,8,15,39.1,34.599999999999994,53.300000000000004,False
1,Chicago,31-54,57.4%,8-18,44.4%,8-14,57.1%,40,19,12,11,6,42,7,34,19.0,2nd-05:00,8,32,3,4,16,78,Lake Forest,"November 10, 2022",19,40,12,11,6,42,7,34,31,54,8,18,8,14,57.4,44.4,57.099999999999994,True
2,Chicago,15-54,27.8%,8-34,23.5%,12-19,63.2%,44,7,16,14,11,10,3,19,10.0,1st-09:20,17,27,6,2,17,50,Albion,"November 12, 2022",7,44,16,14,11,10,3,19,15,54,8,34,12,19,27.800000000000004,23.5,63.2,True
3,Albion,18-56,32.1%,0-10,0%,6-11,54.5%,41,6,17,12,8,32,0,5,2.0,1st-18:05,15,26,10,1,18,42,Albion,"November 12, 2022",6,41,17,12,8,32,0,5,18,56,0,10,6,11,32.1,0.0,54.50000000000001,False
4,Chicago,28-64,43.8%,4-18,22.2%,4-5,80.0%,39,9,9,8,8,44,4,20,9.0,2nd-17:40,15,24,7,3,15,64,Mt. St. Joseph,"November 13, 2022",9,39,9,8,8,44,4,20,28,64,4,18,4,5,43.8,22.2,80.0,True
5,Mt. St. Joseph,21-51,41.2%,8-23,34.8%,9-11,81.8%,30,11,10,8,5,20,0,28,1.0,1st-12:15,8,22,4,1,10,59,Mt. St. Joseph,"November 13, 2022",11,30,10,8,5,20,0,28,21,51,8,23,9,11,41.199999999999996,34.8,81.8,False
6,Colorado College,28-69,40.6%,5-17,29.4%,8-14,57.1%,39,10,10,24,17,36,12,33,8.0,2nd-16:52,17,22,13,5,17,69,Colorado College,"November 18, 2022",10,39,10,24,17,36,12,33,28,69,5,17,8,14,40.6,29.4,57.099999999999994,False
7,Chicago,24-51,47.1%,9-25,36.0%,10-12,83.3%,35,14,20,8,7,22,2,13,4.0,1st-17:20,7,28,5,6,14,67,Colorado College,"November 18, 2022",14,35,20,8,7,22,2,13,24,51,9,25,10,12,47.099999999999994,36.0,83.3,True
8,Colby,24-54,44.4%,13-30,43.3%,12-13,92.3%,30,16,12,18,3,22,0,28,16.0,2nd-02:33,3,27,5,2,20,73,Colby,"November 19, 2022",16,30,12,18,3,22,0,28,24,54,13,30,12,13,44.4,43.3,92.30000000000001,False
9,Chicago,22-55,40.0%,5-17,29.4%,12-20,60.0%,38,10,15,11,8,32,4,17,4.0,2nd-15:01,11,27,8,1,16,61,Colby,"November 19, 2022",10,38,15,11,8,32,4,17,22,55,5,17,12,20,40.0,29.4,60.0,True
10,Chicago,20-55,36.4%,6-22,27.3%,9-14,64.3%,38,12,12,9,13,28,2,20,,,13,25,4,7,14,55,Wheaton (Ill.),"November 26, 2022",12,38,12,9,13,28,2,20,20,55,6,22,9,14,36.4,27.3,64.3,True
11,Wheaton (Ill.),28-58,48.3%,9-24,37.5%,8-11,72.7%,32,17,5,19,10,34,11,17,,,7,25,4,3,12,73,Wheaton (Ill.),"November 26, 2022",17,32,5,19,10,34,11,17,28,58,9,24,8,11,48.3,37.5,72.7,False
12,Kalamazoo,21-50,42.0%,13-28,46.4%,8-19,42.1%,25,12,13,19,13,16,9,25,5.0,1st-01:17,7,18,9,1,15,63,Kalamazoo,"November 30, 2022",12,25,13,19,13,16,9,25,21,50,13,28,8,19,42.0,46.400000000000006,42.1,False
13,Chicago,26-59,44.1%,13-31,41.9%,7-13,53.8%,47,14,16,13,20,20,3,15,14.0,2nd-04:59,18,29,3,1,15,72,Kalamazoo,"November 30, 2022",14,47,16,13,20,20,3,15,26,59,13,31,7,13,44.1,41.9,53.800000000000004,True
14,Edgewood,29-55,52.7%,4-14,28.6%,10-16,62.5%,34,8,16,0,4,46,2,11,3.0,2nd-12:16,6,28,4,0,31,72,Edgewood,"December 11, 2022",8,34,16,0,4,46,2,11,29,55,4,14,10,16,52.7,28.599999999999998,62.5,False
15,Chicago,26-58,44.8%,5-20,25.0%,28-41,68.3%,32,14,6,27,10,40,12,28,13.0,2nd-00:33,10,22,10,4,20,85,Edgewood,"December 11, 2022",14,32,6,27,10,40,12,28,26,58,5,20,28,41,44.800000000000004,25.0,68.30000000000001,True
16,Chicago,21-52,40.4%,6-21,28.6%,14-18,77.8%,40,8,11,6,5,26,0,25,3.0,2nd-00:51,7,33,4,4,15,62,Illinois Tech,"December 14, 2022",8,40,11,6,5,26,0,25,21,52,6,21,14,18,40.400000000000006,28.599999999999998,77.8,True
17,Illinois Tech,23-61,37.7%,7-18,38.9%,6-10,60.0%,31,9,9,9,7,26,9,19,10.0,2nd-14:53,8,23,5,1,12,59,Illinois Tech,"December 14, 2022",9,31,9,9,7,26,9,19,23,61,7,18,6,10,37.7,38.9,60.0,False
0,Ill. Wesleyan,25-61,41.0%,7-21,33.3%,10-16,62.5%,45,12,12,6,15,26,5,6,7,1st-14:01,12,33,5,4,17,67,Ill. Wesleyan,"December 20, 2022",12,45,12,6,15,26,5,6,25,61,7,21,10,16,41.0,33.300000000000004,62.5,False
1,Chicago,21-62,33.9%,7-35,20.0%,14-18,77.8%,38,11,11,6,7,22,6,24,2,1st-19:42,10,28,5,7,17,63,Ill. Wesleyan,"December 20, 2022",11,38,11,6,7,22,6,24,21,62,7,35,14,18,33.900000000000006,20.0,77.8,True
